bbl,year,stmt_date,stmt_type,status,estimated_gross_income_raw,estimated_gross_income,estimated_expenses_raw,estimated_expenses,base_cap_rate_raw,base_cap_rate,overall_cap_rate_raw,overall_cap_rate,source_url
3028850025,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3028850025&stmtDate=20250115&stmtType=NPV
1021710001,2025,20250115,NPV,ok,"$2,913,773",2913773.0,"$1,569,067",1569067.0,7.27%,0.0727,12.895%,0.12895,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1021710001&stmtDate=20250115&stmtType=NPV
3018420015,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3018420015&stmtDate=20250115&stmtType=NPV
3026910035,2025,20250115,NPV,not_found_pdf,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3026910035&stmtDate=20250115&stmtType=NPV
1010800105,2025,20250115,NPV,ok,"$1,085,188",1085188.0,"$260,445",260445.0,7.03%,0.0703,12.655%,0.12655,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1010800105&stmtDate=20250115&stmtType=NPV
2057690132,2025,20250115,NPV,ok,"$2,561,902",2561902.0,"$896,666",896666.0,6.93%,0.0693,12.555%,0.12555,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2057690132&stmtDate=20250115&stmtType=NPV
1007610037,2025,20250115,NPV,ok,"$4,193,836",4193836.0,"$1,258,151",1258151.0,,,15.123%,0.15123,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1007610037&stmtDate=20250115&stmtType=NPV
1021660044,2025,20250115,NPV,ok,"$855,060",855060.0,"$386,316",386316.0,7.85%,0.0785,13.475%,0.13475,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1021660044&stmtDate=20250115&stmtType=NPV
1020830040,2025,20250115,NPV,ok,"$262,142",262142.0,"$163,314",163314.0,7.72%,0.07719999999999999,13.345%,0.13345,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1020830040&stmtDate=20250115&stmtType=NPV
1013041002,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1013041002&stmtDate=20250115&stmtType=NPV
3012820022,2025,20250115,NPV,ok,"$381,733",381733.0,"$170,291",170291.0,8.18%,0.0818,13.805%,0.13805,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3012820022&stmtDate=20250115&stmtType=NPV
1018280060,2025,20250115,NPV,ok,"$271,422",271422.0,"$151,548",151548.0,7.17%,0.0717,12.79166%,0.1279166,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1018280060&stmtDate=20250115&stmtType=NPV
2031600035,2025,20250115,NPV,ok,"$1,143,447",1143447.0,"$503,099",503099.0,7.51%,0.0751,13.135%,0.13135,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2031600035&stmtDate=20250115&stmtType=NPV
1002860003,2025,20250115,NPV,ok,"$211,002",211002.0,"$124,597",124597.0,7.08%,0.0708,12.705%,0.12705,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1002860003&stmtDate=20250115&stmtType=NPV
2037100032,2025,20250115,NPV,ok,"$354,359",354359.0,"$133,142",133142.0,7.83%,0.0783,13.455%,0.13455,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2037100032&stmtDate=20250115&stmtType=NPV
4033210177,2025,20250115,NPV,ok,"$981,132",981132.0,"$323,162",323162.0,6.92%,0.0692,12.545%,0.12545,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=4033210177&stmtDate=20250115&stmtType=NPV
1008660009,2025,20250115,NPV,ok,"$598,316",598316.0,"$227,360",227360.0,6.93%,0.0693,12.555%,0.12555,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1008660009&stmtDate=20250115&stmtType=NPV
1008900001,2025,20250115,NPV,ok,"$11,732,000",11732000.0,"$4,470,000",4470000.0,7.06%,0.0706,12.685%,0.12685000000000002,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1008900001&stmtDate=20250115&stmtType=NPV
