nhood_type,panel,n_units,n_buildings,wtd_mean_cong_props,wtd_mean_cong_units,wtd_mean_cong_tracts,wtd_mean_cong_sd_income,wtd_mean_cong_mean_income,wtd_mean_pct_below
Above-median-income bldg,All landlords,120856,67634,40.522324088171,92.7806149467134,2.86829780896273,26.0095255864148,68.2482216836774,0.05759446018092
Below-median-income bldg,All landlords,120215,65247,25.2070540281995,75.3874308530549,3.7465540905877,16.5045805476364,19.0711346330097,0.942098439632119
Above-median-income bldg,Large portfolios (≥10 units),39245,5711,122.033023315072,281.319887883807,6.41467702892088,26.5260784919432,62.5697431437312,0.122006725360378
Below-median-income bldg,Large portfolios (≥10 units),48301,9987,60.4153537193847,184.120308068156,7.3978178505621,17.3218720187518,19.6610741010657,0.900868430534187
