zip5,year,filer_type,n_acq,units_acq,n_sell,units_sell,net_transfers,net_units,total_units
19103,2016,Single-purchase,78,112,79,136,-1,-24,15411
19103,2017,High-filer,0,0,0,0,0,0,15584
19103,2017,Low-filer,10,59,10,60,0,-1,15584
19103,2017,Small portfolio,10,43,7,36,3,7,15584
19103,2017,Single-purchase,110,302,113,308,-3,-6,15584
19103,2018,High-filer,0,0,0,0,0,0,15620
19103,2018,Low-filer,5,22,6,25,-1,-3,15620
19103,2018,Small portfolio,1,1,2,5,-1,-4,15620
19103,2018,Single-purchase,126,425,124,418,2,7,15620
19103,2019,High-filer,0,0,1,11,-1,-11,15771
19103,2019,Low-filer,9,347,6,25,3,322,15771
19103,2019,Small portfolio,11,44,9,189,2,-145,15771
19103,2019,Single-purchase,115,349,119,515,-4,-166,15771
19104,2006,High-filer,28,38,25,54,3,-16,13860
19104,2006,Low-filer,15,45,21,99,-6,-54,13860
19104,2006,Small portfolio,59,113,49,76,10,37,13860
19104,2006,Single-purchase,544,948,551,915,-7,33,13860
19104,2007,High-filer,17,29,20,46,-3,-17,14066
19104,2007,Low-filer,16,174,37,162,-21,12,14066
19104,2007,Small portfolio,62,108,79,133,-17,-25,14066
19104,2007,Single-purchase,463,1009,422,979,41,30,14066
19104,2008,High-filer,24,31,14,30,10,1,14141
19104,2008,Low-filer,16,37,23,60,-7,-23,14141
19104,2008,Small portfolio,51,84,62,111,-11,-27,14141
19104,2008,Single-purchase,298,601,290,552,8,49,14141
19104,2009,High-filer,13,23,13,25,0,-2,14289
19104,2009,Low-filer,25,40,9,18,16,22,14289
19104,2009,Small portfolio,68,148,47,83,21,65,14289
19104,2009,Single-purchase,207,312,244,397,-37,-85,14289
19104,2010,High-filer,34,66,11,13,23,53,14464
19104,2010,Low-filer,41,114,30,65,11,49,14464
19104,2010,Small portfolio,40,78,55,144,-15,-66,14464
19104,2010,Single-purchase,223,425,242,461,-19,-36,14464
19104,2011,High-filer,53,76,25,42,28,34,14589
19104,2011,Low-filer,26,64,28,66,-2,-2,14589
19104,2011,Small portfolio,55,142,66,130,-11,12,14589
19104,2011,Single-purchase,226,400,241,444,-15,-44,14589
19104,2012,High-filer,12,17,7,12,5,5,14733
19104,2012,Low-filer,62,146,41,100,21,46,14733
19104,2012,Small portfolio,64,133,50,115,14,18,14733
19104,2012,Single-purchase,242,420,282,489,-40,-69,14733
19104,2013,High-filer,11,33,9,14,2,19,15078
19104,2013,Low-filer,41,149,45,176,-4,-27,15078
19104,2013,Small portfolio,76,142,58,133,18,9,15078
19104,2013,Single-purchase,255,510,271,511,-16,-1,15078
19104,2014,High-filer,29,68,18,39,11,29,15860
19104,2014,Low-filer,45,128,44,96,1,32,15860
19104,2014,Small portfolio,80,178,76,159,4,19,15860
19104,2014,Single-purchase,291,488,307,568,-16,-80,15860
19104,2015,High-filer,13,66,16,97,-3,-31,16287
19104,2015,Low-filer,55,180,46,151,9,29,16287
19104,2015,Small portfolio,77,132,60,128,17,4,16287
19104,2015,Single-purchase,325,570,348,572,-23,-2,16287
19104,2016,High-filer,20,23,14,18,6,5,16195
19104,2016,Low-filer,49,104,50,107,-1,-3,16195
19104,2016,Small portfolio,103,223,94,176,9,47,16195
19104,2016,Single-purchase,422,793,436,842,-14,-49,16195
19104,2017,High-filer,10,18,10,17,0,1,16551
19104,2017,Low-filer,108,229,78,180,30,49,16551
19104,2017,Small portfolio,90,161,82,164,8,-3,16551
19104,2017,Single-purchase,535,1137,573,1184,-38,-47,16551
19104,2018,High-filer,22,51,24,72,-2,-21,17036
19104,2018,Low-filer,60,111,55,100,5,11,17036
19104,2018,Small portfolio,112,228,87,188,25,40,17036
19104,2018,Single-purchase,478,1262,506,1292,-28,-30,17036
19104,2019,High-filer,17,32,13,21,4,11,16921
19104,2019,Low-filer,42,138,38,91,4,47,16921
19104,2019,Small portfolio,106,217,78,156,28,61,16921
19104,2019,Single-purchase,431,942,467,1061,-36,-119,16921
19106,2006,High-filer,0,0,0,0,0,0,6600
19106,2006,Low-filer,2,3,4,5,-2,-2,6600
19106,2006,Small portfolio,3,5,1,3,2,2,6600
19106,2006,Single-purchase,58,99,58,99,0,0,6600
19106,2007,High-filer,0,0,0,0,0,0,6739
19106,2007,Low-filer,0,0,2,5,-2,-5,6739
19106,2007,Small portfolio,3,5,2,4,1,1,6739
19106,2007,Single-purchase,64,103,63,99,1,4,6739
19106,2008,High-filer,0,0,0,0,0,0,6826
19106,2008,Low-filer,0,0,0,0,0,0,6826
19106,2008,Small portfolio,4,26,5,41,-1,-15,6826
19106,2008,Single-purchase,45,83,44,68,1,15,6826
19106,2009,High-filer,0,0,0,0,0,0,6861
19106,2009,Low-filer,1,1,2,2,-1,-1,6861
19106,2009,Small portfolio,2,2,0,0,2,2,6861
19106,2009,Single-purchase,33,72,34,73,-1,-1,6861
19106,2010,High-filer,0,0,1,2,-1,-2,6953
19106,2010,Low-filer,3,6,1,2,2,4,6953
19106,2010,Small portfolio,4,8,5,9,-1,-1,6953
19106,2010,Single-purchase,50,84,50,85,0,-1,6953
19106,2011,High-filer,1,2,0,0,1,2,6953
19106,2011,Low-filer,2,2,1,2,1,0,6953
19106,2011,Small portfolio,5,11,3,8,2,3,6953
19106,2011,Single-purchase,37,60,41,65,-4,-5,6953
19106,2012,High-filer,0,0,0,0,0,0,6984
19106,2012,Low-filer,2,3,0,0,2,3,6984
19106,2012,Small portfolio,5,11,8,14,-3,-3,6984
19106,2012,Single-purchase,74,102,73,102,1,0,6984
19106,2013,High-filer,0,0,0,0,0,0,6990
19106,2013,Low-filer,5,10,4,12,1,-2,6990
19106,2013,Small portfolio,9,40,0,0,9,40,6990
19106,2013,Single-purchase,66,112,76,150,-10,-38,6990
19106,2014,High-filer,0,0,1,17,-1,-17,7025
19106,2014,Low-filer,3,14,1,2,2,12,7025
19106,2014,Small portfolio,8,28,7,14,1,14,7025
19106,2014,Single-purchase,61,103,63,112,-2,-9,7025
19106,2015,High-filer,1,4,0,0,1,4,7372
19106,2015,Low-filer,1,3,1,3,0,0,7372
19106,2015,Small portfolio,2,4,3,7,-1,-3,7372
19106,2015,Single-purchase,82,615,82,616,0,-1,7372
19106,2016,High-filer,0,0,0,0,0,0,7496
19106,2016,Low-filer,1,5,1,5,0,0,7496
19106,2016,Small portfolio,1,1,2,21,-1,-20,7496
19106,2016,Single-purchase,78,152,77,132,1,20,7496
19106,2017,High-filer,1,3,0,0,1,3,7804
19106,2017,Low-filer,6,16,2,6,4,10,7804
19106,2017,Small portfolio,8,50,9,42,-1,8,7804
19106,2017,Single-purchase,104,186,108,207,-4,-21,7804
19106,2018,High-filer,0,0,0,0,0,0,7804
19106,2018,Low-filer,2,7,2,7,0,0,7804
19106,2018,Small portfolio,3,9,2,8,1,1,7804
19106,2018,Single-purchase,93,212,94,213,-1,-1,7804
19106,2019,High-filer,0,0,1,3,-1,-3,7864
19106,2019,Low-filer,1,2,3,15,-2,-13,7864
19106,2019,Small portfolio,6,15,4,8,2,7,7864
19106,2019,Single-purchase,102,315,101,306,1,9,7864
19107,2006,High-filer,2,21,2,21,0,0,8287
19107,2006,Low-filer,3,108,3,88,0,20,8287
19107,2006,Small portfolio,3,25,4,12,-1,13,8287
19107,2006,Single-purchase,63,129,62,162,1,-33,8287
19107,2007,High-filer,0,0,1,5,-1,-5,8368
19107,2007,Low-filer,0,0,2,5,-2,-5,8368
19107,2007,Small portfolio,6,19,5,8,1,11,8368
19107,2007,Single-purchase,52,150,50,151,2,-1,8368
19107,2008,High-filer,0,0,0,0,0,0,8393
19107,2008,Low-filer,5,67,5,67,0,0,8393
19107,2008,Small portfolio,6,16,8,25,-2,-9,8393
19107,2008,Single-purchase,41,93,39,84,2,9,8393
19107,2009,High-filer,0,0,0,0,0,0,8426
19107,2009,Low-filer,1,2,3,8,-2,-6,8426
19107,2009,Small portfolio,4,33,4,32,0,1,8426
19107,2009,Single-purchase,34,81,32,76,2,5,8426
19107,2010,High-filer,0,0,1,2,-1,-2,8397
19107,2010,Low-filer,8,35,4,22,4,13,8397
19107,2010,Small portfolio,7,13,5,12,2,1,8397
19107,2010,Single-purchase,46,71,51,83,-5,-12,8397
19107,2011,High-filer,1,4,1,4,0,0,8417
19107,2011,Low-filer,2,11,1,4,1,7,8417
19107,2011,Small portfolio,10,23,10,32,0,-9,8417
19107,2011,Single-purchase,46,76,47,74,-1,2,8417
19107,2012,High-filer,0,0,0,0,0,0,8420
19107,2012,Low-filer,4,8,2,5,2,3,8420
19107,2012,Small portfolio,5,11,7,16,-2,-5,8420
19107,2012,Single-purchase,45,134,45,132,0,2,8420
19107,2013,High-filer,0,0,0,0,0,0,8476
19107,2013,Low-filer,9,47,7,42,2,5,8476
19107,2013,Small portfolio,5,25,3,17,2,8,8476
19107,2013,Single-purchase,36,81,40,94,-4,-13,8476
19107,2014,High-filer,0,0,0,0,0,0,8628
19107,2014,Low-filer,3,169,1,3,2,166,8628
19107,2014,Small portfolio,10,28,5,22,5,6,8628
19107,2014,Single-purchase,59,429,66,601,-7,-172,8628
19107,2015,High-filer,1,5,0,0,1,5,8687
19107,2015,Low-filer,2,3,0,0,2,3,8687
19107,2015,Small portfolio,5,17,3,9,2,8,8687
19107,2015,Single-purchase,53,392,58,408,-5,-16,8687
19107,2016,High-filer,7,35,2,21,5,14,9296
19107,2016,Low-filer,1,36,4,11,-3,25,9296
19107,2016,Small portfolio,3,7,4,12,-1,-5,9296
19107,2016,Single-purchase,54,138,55,172,-1,-34,9296
19107,2017,High-filer,0,0,0,0,0,0,9321
19107,2017,Low-filer,7,57,8,66,-1,-9,9321
19107,2017,Small portfolio,11,52,10,49,1,3,9321
19107,2017,Single-purchase,63,227,63,221,0,6,9321
19107,2018,High-filer,0,0,0,0,0,0,9586
19107,2018,Low-filer,6,50,8,61,-2,-11,9586
19107,2018,Small portfolio,8,41,9,44,-1,-3,9586
19107,2018,Single-purchase,66,242,63,228,3,14,9586
