zip,pc1_gent,d_log_income,d_log_hp,d_crime,d_nanda,net_units_high_filer,acq_units_high_filer,net_units_low_filer,acq_units_low_filer,net_units_small_portfolio,acq_units_small_portfolio,net_units_single_purchase,acq_units_single_purchase,total_net_units,total_acq_units,high_filer_acq_share,total_units_mean
19102,0.469020063651762,0.413826382612017,0.0154983918873572,-43.7841501107886,0.448548694244476,8,30,23,106,35,99,-66,872,0,1107,0.02710027100271,4420.78571428571
19102,0.469020063651762,0.413826382612017,0.0154983918873572,-43.7841501107886,0.448548694244476,8,30,23,106,35,99,-66,872,0,1107,0.02710027100271,4420.78571428571
19102,0.469020063651762,0.413826382612017,0.0154983918873572,-43.7841501107886,0.448548694244476,8,30,23,106,35,99,-66,872,0,1107,0.02710027100271,4420.78571428571
19102,0.469020063651762,0.413826382612017,0.0154983918873572,-43.7841501107886,0.448548694244476,8,30,23,106,35,99,-66,872,0,1107,0.02710027100271,4420.78571428571
19103,0.162585682752148,0.464795559905994,0.066425189534284,-17.153206527861,0.361746806036693,6,64,63,971,2,415,-71,4568,0,6018,0.0106347623795281,14636
19103,0.162585682752148,0.464795559905994,0.066425189534284,-17.153206527861,0.361746806036693,6,64,63,971,2,415,-71,4568,0,6018,0.0106347623795281,14636
19103,0.162585682752148,0.464795559905994,0.066425189534284,-17.153206527861,0.361746806036693,6,64,63,971,2,415,-71,4568,0,6018,0.0106347623795281,14636
19103,0.162585682752148,0.464795559905994,0.066425189534284,-17.153206527861,0.361746806036693,6,64,63,971,2,415,-71,4568,0,6018,0.0106347623795281,14636
19104,0.935913824912696,0.502788500513505,0.475678428187795,-28.287557316994,0.369688934942881,71,571,188,1659,191,2087,-450,9817,0,14134,0.0403990377812367,15290.7142857143
19104,0.935913824912696,0.502788500513505,0.475678428187795,-28.287557316994,0.369688934942881,71,571,188,1659,191,2087,-450,9817,0,14134,0.0403990377812367,15290.7142857143
19104,0.935913824912696,0.502788500513505,0.475678428187795,-28.287557316994,0.369688934942881,71,571,188,1659,191,2087,-450,9817,0,14134,0.0403990377812367,15290.7142857143
19104,0.935913824912696,0.502788500513505,0.475678428187795,-28.287557316994,0.369688934942881,71,571,188,1659,191,2087,-450,9817,0,14134,0.0403990377812367,15290.7142857143
19106,0.405081027950257,0.211272754477204,0.00475899454462159,-191.267535372936,0.209384735142782,-13,9,6,72,36,215,-29,2298,0,2594,0.00346954510408635,7162.21428571429
19106,0.405081027950257,0.211272754477204,0.00475899454462159,-191.267535372936,0.209384735142782,-13,9,6,72,36,215,-29,2298,0,2594,0.00346954510408635,7162.21428571429
19106,0.405081027950257,0.211272754477204,0.00475899454462159,-191.267535372936,0.209384735142782,-13,9,6,72,36,215,-29,2298,0,2594,0.00346954510408635,7162.21428571429
19106,0.405081027950257,0.211272754477204,0.00475899454462159,-191.267535372936,0.209384735142782,-13,9,6,72,36,215,-29,2298,0,2594,0.00346954510408635,7162.21428571429
19107,1.33967712637663,0.540423551667495,0.0620667342681749,-122.488539558106,0.314312938452503,12,65,210,711,11,369,-233,2476,0,3621,0.0179508423087545,8730.71428571429
19107,1.33967712637663,0.540423551667495,0.0620667342681749,-122.488539558106,0.314312938452503,12,65,210,711,11,369,-233,2476,0,3621,0.0179508423087545,8730.71428571429
19107,1.33967712637663,0.540423551667495,0.0620667342681749,-122.488539558106,0.314312938452503,12,65,210,711,11,369,-233,2476,0,3621,0.0179508423087545,8730.71428571429
19107,1.33967712637663,0.540423551667495,0.0620667342681749,-122.488539558106,0.314312938452503,12,65,210,711,11,369,-233,2476,0,3621,0.0179508423087545,8730.71428571429
19111,-0.879887339544386,0.198757599958626,0.175603142968683,-46.5289545535576,0.213149020589213,40,245,82,330,101,1024,-223,11771,0,13370,0.0183246073298429,9850.07142857143
19111,-0.879887339544386,0.198757599958626,0.175603142968683,-46.5289545535576,0.213149020589213,40,245,82,330,101,1024,-223,11771,0,13370,0.0183246073298429,9850.07142857143
19111,-0.879887339544386,0.198757599958626,0.175603142968683,-46.5289545535576,0.213149020589213,40,245,82,330,101,1024,-223,11771,0,13370,0.0183246073298429,9850.07142857143
19111,-0.879887339544386,0.198757599958626,0.175603142968683,-46.5289545535576,0.213149020589213,40,245,82,330,101,1024,-223,11771,0,13370,0.0183246073298429,9850.07142857143
19114,-0.463018406439784,0.249745554410318,0.112626868898893,-32.7781554514852,0.34730918795109,0,53,127,254,98,338,-225,5524,0,6169,0.00859134381585346,5137.07142857143
19114,-0.463018406439784,0.249745554410318,0.112626868898893,-32.7781554514852,0.34730918795109,0,53,127,254,98,338,-225,5524,0,6169,0.00859134381585346,5137.07142857143
19114,-0.463018406439784,0.249745554410318,0.112626868898893,-32.7781554514852,0.34730918795109,0,53,127,254,98,338,-225,5524,0,6169,0.00859134381585346,5137.07142857143
19114,-0.463018406439784,0.249745554410318,0.112626868898893,-32.7781554514852,0.34730918795109,0,53,127,254,98,338,-225,5524,0,6169,0.00859134381585346,5137.07142857143
19115,-1.27263176644875,0.247162901508485,0.0871375603601834,-20.2420272557569,0.153025187305524,-23,40,15,101,-7,262,15,4909,0,5312,0.00753012048192771,6179.92857142857
19115,-1.27263176644875,0.247162901508485,0.0871375603601834,-20.2420272557569,0.153025187305524,-23,40,15,101,-7,262,15,4909,0,5312,0.00753012048192771,6179.92857142857
19115,-1.27263176644875,0.247162901508485,0.0871375603601834,-20.2420272557569,0.153025187305524,-23,40,15,101,-7,262,15,4909,0,5312,0.00753012048192771,6179.92857142857
19115,-1.27263176644875,0.247162901508485,0.0871375603601834,-20.2420272557569,0.153025187305524,-23,40,15,101,-7,262,15,4909,0,5312,0.00753012048192771,6179.92857142857
19116,-0.0958004190376739,0.307039248474096,0.143839489790604,-26.5400786932247,0.402159319973665,4,133,27,148,108,326,-139,5290,0,5897,0.0225538409360692,5592.5
19116,-0.0958004190376739,0.307039248474096,0.143839489790604,-26.5400786932247,0.402159319973665,4,133,27,148,108,326,-139,5290,0,5897,0.0225538409360692,5592.5
19116,-0.0958004190376739,0.307039248474096,0.143839489790604,-26.5400786932247,0.402159319973665,4,133,27,148,108,326,-139,5290,0,5897,0.0225538409360692,5592.5
19116,-0.0958004190376739,0.307039248474096,0.143839489790604,-26.5400786932247,0.402159319973665,4,133,27,148,108,326,-139,5290,0,5897,0.0225538409360692,5592.5
19118,0.472545413303394,0.668587997058097,0.17270672761923,-18.6219478852659,0.185552577375401,90,183,-84,138,-5,45,-1,2275,0,2641,0.0692919348731541,1926.57142857143
19118,0.472545413303394,0.668587997058097,0.17270672761923,-18.6219478852659,0.185552577375401,90,183,-84,138,-5,45,-1,2275,0,2641,0.0692919348731541,1926.57142857143
19118,0.472545413303394,0.668587997058097,0.17270672761923,-18.6219478852659,0.185552577375401,90,183,-84,138,-5,45,-1,2275,0,2641,0.0692919348731541,1926.57142857143
19118,0.472545413303394,0.668587997058097,0.17270672761923,-18.6219478852659,0.185552577375401,90,183,-84,138,-5,45,-1,2275,0,2641,0.0692919348731541,1926.57142857143
19119,0.937708212935859,0.489477247960453,0.289213105844773,-24.0494436981408,0.466089729924599,54,346,31,240,-61,413,-24,6516,0,7515,0.04604125083167,4805
19119,0.937708212935859,0.489477247960453,0.289213105844773,-24.0494436981408,0.466089729924599,54,346,31,240,-61,413,-24,6516,0,7515,0.04604125083167,4805
19119,0.937708212935859,0.489477247960453,0.289213105844773,-24.0494436981408,0.466089729924599,54,346,31,240,-61,413,-24,6516,0,7515,0.04604125083167,4805
19119,0.937708212935859,0.489477247960453,0.289213105844773,-24.0494436981408,0.466089729924599,54,346,31,240,-61,413,-24,6516,0,7515,0.04604125083167,4805
19120,-1.00726459451459,0.208693536309644,0.320258558714976,-41.5907702564317,0.125769387289033,146,347,38,504,401,1842,-585,11869,0,14562,0.0238291443483038,9806.92857142857
19120,-1.00726459451459,0.208693536309644,0.320258558714976,-41.5907702564317,0.125769387289033,146,347,38,504,401,1842,-585,11869,0,14562,0.0238291443483038,9806.92857142857
19120,-1.00726459451459,0.208693536309644,0.320258558714976,-41.5907702564317,0.125769387289033,146,347,38,504,401,1842,-585,11869,0,14562,0.0238291443483038,9806.92857142857
19120,-1.00726459451459,0.208693536309644,0.320258558714976,-41.5907702564317,0.125769387289033,146,347,38,504,401,1842,-585,11869,0,14562,0.0238291443483038,9806.92857142857
19121,1.18102720143296,0.483073566526166,0.700938390549267,-108.644401512031,0.138726209501627,103,396,57,1387,405,3363,-565,12390,0,17536,0.0225821167883212,11437.2142857143
19121,1.18102720143296,0.483073566526166,0.700938390549267,-108.644401512031,0.138726209501627,103,396,57,1387,405,3363,-565,12390,0,17536,0.0225821167883212,11437.2142857143
19121,1.18102720143296,0.483073566526166,0.700938390549267,-108.644401512031,0.138726209501627,103,396,57,1387,405,3363,-565,12390,0,17536,0.0225821167883212,11437.2142857143
19121,1.18102720143296,0.483073566526166,0.700938390549267,-108.644401512031,0.138726209501627,103,396,57,1387,405,3363,-565,12390,0,17536,0.0225821167883212,11437.2142857143
19122,2.91987927901192,0.669819118391683,0.860472825998127,-56.166497815449,0.557972402191693,6,121,117,723,204,1071,-327,6841,0,8756,0.0138190954773869,4673.07142857143
19122,2.91987927901192,0.669819118391683,0.860472825998127,-56.166497815449,0.557972402191693,6,121,117,723,204,1071,-327,6841,0,8756,0.0138190954773869,4673.07142857143
19122,2.91987927901192,0.669819118391683,0.860472825998127,-56.166497815449,0.557972402191693,6,121,117,723,204,1071,-327,6841,0,8756,0.0138190954773869,4673.07142857143
19122,2.91987927901192,0.669819118391683,0.860472825998127,-56.166497815449,0.557972402191693,6,121,117,723,204,1071,-327,6841,0,8756,0.0138190954773869,4673.07142857143
19123,3.17784711342581,0.763523477108659,0.210323385693235,-118.862808975711,0.578580615994397,1,26,161,346,100,648,-262,5116,0,6136,0.00423728813559322,6400.57142857143
19123,3.17784711342581,0.763523477108659,0.210323385693235,-118.862808975711,0.578580615994397,1,26,161,346,100,648,-262,5116,0,6136,0.00423728813559322,6400.57142857143
19123,3.17784711342581,0.763523477108659,0.210323385693235,-118.862808975711,0.578580615994397,1,26,161,346,100,648,-262,5116,0,6136,0.00423728813559322,6400.57142857143
19123,3.17784711342581,0.763523477108659,0.210323385693235,-118.862808975711,0.578580615994397,1,26,161,346,100,648,-262,5116,0,6136,0.00423728813559322,6400.57142857143
19124,-0.719567475481494,0.195837943448931,0.384398125632908,-64.869138698784,0.132686441158959,364,829,192,973,468,2623,-1024,15776,0,20201,0.0410375723974061,12613.6428571429
19124,-0.719567475481494,0.195837943448931,0.384398125632908,-64.869138698784,0.132686441158959,364,829,192,973,468,2623,-1024,15776,0,20201,0.0410375723974061,12613.6428571429
19124,-0.719567475481494,0.195837943448931,0.384398125632908,-64.869138698784,0.132686441158959,364,829,192,973,468,2623,-1024,15776,0,20201,0.0410375723974061,12613.6428571429
19124,-0.719567475481494,0.195837943448931,0.384398125632908,-64.869138698784,0.132686441158959,364,829,192,973,468,2623,-1024,15776,0,20201,0.0410375723974061,12613.6428571429
19125,3.11643234231558,0.820097463406945,0.676110194392825,-55.985927000828,0.518260602253509,16,135,50,460,241,1332,-307,12627,0,14554,0.0092758004672255,6248.78571428572
19125,3.11643234231558,0.820097463406945,0.676110194392825,-55.985927000828,0.518260602253509,16,135,50,460,241,1332,-307,12627,0,14554,0.0092758004672255,6248.78571428572
19125,3.11643234231558,0.820097463406945,0.676110194392825,-55.985927000828,0.518260602253509,16,135,50,460,241,1332,-307,12627,0,14554,0.0092758004672255,6248.78571428572
19125,3.11643234231558,0.820097463406945,0.676110194392825,-55.985927000828,0.518260602253509,16,135,50,460,241,1332,-307,12627,0,14554,0.0092758004672255,6248.78571428572
19126,0.0640680563969266,0.263047930462971,0.377617230281674,-10.955312610168,0.461345566502621,10,144,57,172,51,248,-118,3159,0,3723,0.0386784850926672,2507.5
19126,0.0640680563969266,0.263047930462971,0.377617230281674,-10.955312610168,0.461345566502621,10,144,57,172,51,248,-118,3159,0,3723,0.0386784850926672,2507.5
19126,0.0640680563969266,0.263047930462971,0.377617230281674,-10.955312610168,0.461345566502621,10,144,57,172,51,248,-118,3159,0,3723,0.0386784850926672,2507.5
19126,0.0640680563969266,0.263047930462971,0.377617230281674,-10.955312610168,0.461345566502621,10,144,57,172,51,248,-118,3159,0,3723,0.0386784850926672,2507.5
19127,0.185608366282367,0.495280574749879,0.0613087823504568,-49.3531470784829,0.238674493345086,-1,9,13,60,85,280,-97,2652,0,3001,0.00299900033322226,2557.71428571429
19127,0.185608366282367,0.495280574749879,0.0613087823504568,-49.3531470784829,0.238674493345086,-1,9,13,60,85,280,-97,2652,0,3001,0.00299900033322226,2557.71428571429
19127,0.185608366282367,0.495280574749879,0.0613087823504568,-49.3531470784829,0.238674493345086,-1,9,13,60,85,280,-97,2652,0,3001,0.00299900033322226,2557.71428571429
19127,0.185608366282367,0.495280574749879,0.0613087823504568,-49.3531470784829,0.238674493345086,-1,9,13,60,85,280,-97,2652,0,3001,0.00299900033322226,2557.71428571429
19128,-0.231075380324132,0.362176456357227,0.131451555959941,-32.7206368039791,0.285711628464482,-22,61,48,302,117,679,-143,10791,0,11833,0.00515507479083918,7516.57142857143
19128,-0.231075380324132,0.362176456357227,0.131451555959941,-32.7206368039791,0.285711628464482,-22,61,48,302,117,679,-143,10791,0,11833,0.00515507479083918,7516.57142857143
19128,-0.231075380324132,0.362176456357227,0.131451555959941,-32.7206368039791,0.285711628464482,-22,61,48,302,117,679,-143,10791,0,11833,0.00515507479083918,7516.57142857143
19128,-0.231075380324132,0.362176456357227,0.131451555959941,-32.7206368039791,0.285711628464482,-22,61,48,302,117,679,-143,10791,0,11833,0.00515507479083918,7516.57142857143
19129,1.07154532617184,0.350993697283984,0.276308763279793,-10.567169806687,0.706219262127299,20,58,56,204,79,376,-155,2643,0,3281,0.017677537336178,2799.07142857143
19129,1.07154532617184,0.350993697283984,0.276308763279793,-10.567169806687,0.706219262127299,20,58,56,204,79,376,-155,2643,0,3281,0.017677537336178,2799.07142857143
19129,1.07154532617184,0.350993697283984,0.276308763279793,-10.567169806687,0.706219262127299,20,58,56,204,79,376,-155,2643,0,3281,0.017677537336178,2799.07142857143
19129,1.07154532617184,0.350993697283984,0.276308763279793,-10.567169806687,0.706219262127299,20,58,56,204,79,376,-155,2643,0,3281,0.017677537336178,2799.07142857143
19130,1.4806126947943,0.50760569495011,0.164059990503146,-70.7913994465179,0.51345374617226,10,35,53,653,236,1079,-299,7092,0,8859,0.00395078451292471,12030.7142857143
19130,1.4806126947943,0.50760569495011,0.164059990503146,-70.7913994465179,0.51345374617226,10,35,53,653,236,1079,-299,7092,0,8859,0.00395078451292471,12030.7142857143
19130,1.4806126947943,0.50760569495011,0.164059990503146,-70.7913994465179,0.51345374617226,10,35,53,653,236,1079,-299,7092,0,8859,0.00395078451292471,12030.7142857143
19130,1.4806126947943,0.50760569495011,0.164059990503146,-70.7913994465179,0.51345374617226,10,35,53,653,236,1079,-299,7092,0,8859,0.00395078451292471,12030.7142857143
19131,-0.174701569217667,0.25390962963939,0.394423492336092,5.788345734806,0.444179620288855,88,802,74,859,200,1380,-362,8228,0,11269,0.0711686928742568,12531.8571428571
