moment,target,simulated,diff,weighted_sq_error
nhood_mean_s_p90_p10,0.8409,0.316,0.5249,2.204
beta_maint_on_c_rate,1.2023,0.5117,0.6907,1.431
mean_m_rate,0.0441,0.2939,-0.2498,0.6241
nhood_mean_s_sd,0.3107,0.1197,0.1909,0.2917
m_rate_pos_p50,0.125,0.3333,-0.2083,0.217
mean_f_rate,0.0442,0.1538,-0.1095,0.12
beta_ppml_s,-0.057,0.1149,-0.1718,0.0591
sorting_coef_high_filing_nhood,0.0659,0.1421,-0.0763,0.0291
