theta,mean_s,mean_f_rate,mean_c_rate,mean_m_rate,zero_f,zero_c,zero_m
G,0.285237186052207,0.0517109065292308,0.127318773110304,0.208969979922359,0.54535794926285,0.251560632222075,0.120334705804224
B,0.347134190578409,0.105714613105467,0.172841673623726,0.17023048339308,0.316875758802104,0.186968838526912,0.169971671388102
