event_time,mean_filing_rate,mean_filings,n,mean_violations
-3,0.0284360036981125,0.0507818765036087,49880,0.271611868484362
-2,0.0278302307479783,0.0503257025870091,53730,0.321552205471803
-1,0.0371637049532316,0.0620868504017085,58998,0.377911115631038
0,0.0325312333766584,0.0576120999159728,65455,0.443999694446566
1,0.0478208598567633,0.0793253060675367,59464,0.400225346428091
2,0.0534404624024809,0.0839871746510751,53020,0.318012070916635
3,0.0525705908054578,0.0872768429144956,46828,0.264713419321773
4,0.0557701054394017,0.0902477724887099,40965,0.255364335408275
5,0.052417931362629,0.0890767951205988,36070,0.250346548378154
