event_time,mean_filing_rate,mean_violations,mean_filings,n
-3,0.0318183411092261,0.325993722315116,0.0563642230631582,170445
-2,0.0320069021273549,0.366602432789094,0.0552981905924057,181109
-1,0.0379950081775779,0.411397445452968,0.060739409656637,195886
0,0.0286728272111592,0.426857664437531,0.0520509285993704,214732
1,0.040168714649142,0.344106851992616,0.0659876208057335,230225
2,0.0461143524621895,0.289418500985698,0.074017336564581,238917
3,0.0455305925632914,0.271120233874479,0.0743007609213991,241155
4,0.0446623914528278,0.265869434416366,0.0732467575879128,239328
5,0.0440243814327873,0.26183929117018,0.071054581068016,238929
