subgroup,post_minus_pre,se,ci_lower,ci_upper,n
full,0.001744,0.000218,0.001315,0.002172,808465
corporate,0.002098,0.000515,0.001089,0.003108,303130
individual,0.001135,0.000238,0.000667,0.001602,505094
highfiler_portfolio,0.002238,0.001542,-0.000785,0.00526,80178
lowfiler_portfolio,0.003199,0.001477,0.000304,0.006095,78934
nonfiler_has_portfolio,0.002941,0.000612,0.001742,0.00414,160183
singlepurchase,0.000564,0.00025,7.4e-05,0.001055,488908
