year,event_time,mean_filing_rate,n_pids,pct_zero
2006,-3,0.198847262247839,183,0.978142076502732
2007,-3,0.0739299610894942,194,0.938144329896907
2008,-3,0.148541114058355,197,0.908629441624365
2009,-3,0.0546075085324232,217,0.944700460829493
2010,-3,0.12476370510397,251,0.960159362549801
2011,-3,0.0489296636085627,222,0.945945945945946
2012,-3,0.0909090909090909,226,0.97787610619469
2013,-3,0.0499001996007984,289,0.944636678200692
2014,-3,0.031055900621118,245,0.951020408163265
2015,-3,0.124748490945674,211,0.90521327014218
2016,-3,0.135632183908046,127,0.905511811023622
2006,-2,0.0621572212065814,291,0.941580756013746
2007,-2,0.190201729106628,183,0.978142076502732
2008,-2,0.0583657587548638,194,0.95360824742268
2009,-2,0.106100795755968,197,0.923857868020305
2010,-2,0.0546075085324232,217,0.95852534562212
2011,-2,0.126654064272212,251,0.952191235059761
2012,-2,0.0672782874617737,222,0.945945945945946
2013,-2,0.0885780885780886,226,0.955752212389381
2014,-2,0.06187624750499,289,0.944636678200692
2015,-2,0.0372670807453416,245,0.971428571428571
2016,-2,0.130784708249497,211,0.95260663507109
2017,-2,0.151724137931034,127,0.921259842519685
2006,-1,0.151515151515152,284,0.908450704225352
2007,-1,0.0383912248628885,291,0.934707903780069
2008,-1,0.126801152737752,183,0.961748633879781
2009,-1,0.0544747081712062,194,0.938144329896907
2010,-1,0.0742705570291777,197,0.939086294416244
2011,-1,0.037542662116041,217,0.963133640552995
2012,-1,0.122873345935728,251,0.952191235059761
2013,-1,0.0764525993883792,222,0.95045045045045
2014,-1,0.0629370629370629,226,0.942477876106195
2015,-1,0.0698602794411178,289,0.955017301038062
2016,-1,0.05175983436853,245,0.93469387755102
2017,-1,0.127766599597586,211,0.957345971563981
2018,-1,0.108045977011494,127,0.913385826771654
2006,0,0.115631691648822,291,0.934707903780069
2007,0,0.140291806958474,284,0.855633802816901
2008,0,0.0475319926873857,291,0.927835051546392
2009,0,0.0922190201729107,183,0.956284153005464
2010,0,0.0658914728682171,195,0.928205128205128
2011,0,0.124675324675325,205,0.902439024390244
2012,0,0.0887372013651877,217,0.91705069124424
2013,0,0.190926275992439,251,0.900398406374502
2014,0,0.128440366972477,222,0.887387387387387
2015,0,0.0675990675990676,226,0.933628318584071
2016,0,0.0738522954091816,289,0.903114186851211
2017,0,0.05175983436853,245,0.946938775510204
2018,0,0.161971830985916,211,0.90521327014218
2019,0,0.112128146453089,128,0.90625
2007,1,0.147751605995717,291,0.859106529209622
2008,1,0.254484304932735,285,0.768421052631579
2009,1,0.120658135283364,291,0.838487972508591
2010,1,0.155619596541787,183,0.87431693989071
2011,1,0.12015503875969,195,0.907692307692308
2012,1,0.114285714285714,205,0.858536585365854
2013,1,0.111864406779661,218,0.889908256880734
2014,1,0.261425959780622,251,0.832669322709163
2015,1,0.18348623853211,222,0.779279279279279
2016,1,0.186480186480187,226,0.800884955752212
2017,1,0.157684630738523,289,0.795847750865052
2018,1,0.112244897959184,246,0.82520325203252
2019,1,0.212424849699399,213,0.830985915492958
2008,2,0.176972281449893,292,0.835616438356164
2009,2,0.20627802690583,285,0.771929824561403
2010,2,0.120218579234973,293,0.825938566552901
2011,2,0.158640226628895,186,0.811827956989247
2012,2,0.147286821705426,195,0.892307692307692
2013,2,0.114285714285714,205,0.853658536585366
2014,2,0.114093959731544,219,0.858447488584475
2015,2,0.312614259597806,251,0.820717131474104
2016,2,0.256880733944954,222,0.806306306306306
2017,2,0.158508158508159,226,0.787610619469027
2018,2,0.218253968253968,290,0.755172413793103
2019,2,0.124031007751938,254,0.811023622047244
2009,3,0.140127388535032,293,0.853242320819113
2010,3,0.214723926380368,286,0.769230769230769
2011,3,0.149090909090909,294,0.799319727891156
2012,3,0.155807365439093,186,0.849462365591398
2013,3,0.213178294573643,195,0.815384615384615
2014,3,0.150649350649351,205,0.824390243902439
2015,3,0.109634551495017,220,0.890909090909091
2016,3,0.272727272727273,252,0.821428571428571
2017,3,0.200607902735562,223,0.825112107623319
2018,3,0.149184149184149,226,0.827433628318584
2019,3,0.198412698412698,290,0.768965517241379
2010,4,0.132631578947368,295,0.827118644067797
2011,4,0.241062308478039,287,0.735191637630662
2012,4,0.112727272727273,294,0.829931972789116
2013,4,0.161473087818697,186,0.833333333333333
2014,4,0.22093023255814,195,0.81025641025641
2015,4,0.127272727272727,205,0.848780487804878
2016,4,0.0863787375415282,220,0.909090909090909
2017,4,0.187272727272727,252,0.833333333333333
2018,4,0.246200607902736,223,0.79372197309417
2019,4,0.100896860986547,226,0.858407079646018
2011,5,0.168421052631579,295,0.810169491525424
2012,5,0.251276813074566,287,0.759581881533101
2013,5,0.107272727272727,294,0.846938775510204
2014,5,0.195467422096317,186,0.817204301075269
2015,5,0.135658914728682,195,0.846153846153846
2016,5,0.120822622107969,206,0.820388349514563
2017,5,0.129568106312292,220,0.868181818181818
2018,5,0.214545454545455,252,0.801587301587302
2019,5,0.224924012158055,223,0.811659192825112
