term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::1,0.030274,0.001945,15.57,0,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::2,0.012628,0.001789,7.06,0,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::3,0.006889,0.00178,3.87,1e-04,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::4,0.007173,0.001845,3.89,1e-04,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::5,0.005263,0.001937,2.72,0.0066,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::-3,0.002923,0.003133,0.93,0.3508,complaint_rate_port_2_4,1812186,0.134,9478,130205,66218,123082
event_time::-1,0.01952,0.003506,5.57,0,complaint_rate_port_2_4,1812186,0.134,9478,130205,66218,123082
event_time::0,0.054725,0.004427,12.36,0,complaint_rate_port_2_4,1812186,0.134,9478,130205,66218,123082
event_time::1,0.044504,0.004549,9.78,0,complaint_rate_port_2_4,1812186,0.134,9478,130205,66218,123082
event_time::2,0.02787,0.004233,6.58,0,complaint_rate_port_2_4,1812186,0.134,9478,130205,66218,123082
event_time::3,0.011076,0.003945,2.81,0.005,complaint_rate_port_2_4,1812186,0.134,9478,130205,66218,123082
event_time::4,0.016926,0.004284,3.95,1e-04,complaint_rate_port_2_4,1812186,0.134,9478,130205,66218,123082
event_time::5,0.012689,0.004211,3.01,0.0026,complaint_rate_port_2_4,1812186,0.134,9478,130205,66218,123082
event_time::-3,0.006291,0.005023,1.25,0.2104,complaint_rate_port_5_9,1739592,0.1332,4212,57596,29094,123082
event_time::-1,0.04469,0.005435,8.22,0,complaint_rate_port_5_9,1739592,0.1332,4212,57596,29094,123082
event_time::0,0.082124,0.006923,11.86,0,complaint_rate_port_5_9,1739592,0.1332,4212,57596,29094,123082
event_time::1,0.059288,0.006964,8.51,0,complaint_rate_port_5_9,1739592,0.1332,4212,57596,29094,123082
event_time::2,0.030282,0.006658,4.55,0,complaint_rate_port_5_9,1739592,0.1332,4212,57596,29094,123082
event_time::3,0.021107,0.005675,3.72,2e-04,complaint_rate_port_5_9,1739592,0.1332,4212,57596,29094,123082
event_time::4,0.005771,0.005642,1.02,0.3064,complaint_rate_port_5_9,1739592,0.1332,4212,57596,29094,123082
event_time::5,0.011402,0.005537,2.06,0.0395,complaint_rate_port_5_9,1739592,0.1332,4212,57596,29094,123082
event_time::-3,0.015481,0.003621,4.28,0,complaint_rate_port_10_,1797572,0.1344,8452,115609,58468,123082
event_time::-1,0.052506,0.004522,11.61,0,complaint_rate_port_10_,1797572,0.1344,8452,115609,58468,123082
event_time::0,0.08716,0.005268,16.54,0,complaint_rate_port_10_,1797572,0.1344,8452,115609,58468,123082
event_time::1,0.065956,0.005209,12.66,0,complaint_rate_port_10_,1797572,0.1344,8452,115609,58468,123082
event_time::2,0.023419,0.004294,5.45,0,complaint_rate_port_10_,1797572,0.1344,8452,115609,58468,123082
event_time::3,0.021134,0.004375,4.83,0,complaint_rate_port_10_,1797572,0.1344,8452,115609,58468,123082
event_time::4,0.010648,0.004216,2.53,0.0116,complaint_rate_port_10_,1797572,0.1344,8452,115609,58468,123082
event_time::5,0.003165,0.004306,0.74,0.4623,complaint_rate_port_10_,1797572,0.1344,8452,115609,58468,123082
