event_time,mean_rate,se,n
-3,0.0349515291640787,0.000581140436306337,119700
-2,0.0352530865759731,0.000551057600339466,129972
-1,0.0414657978639906,0.000566836071025308,144034
0,0.0343551887239509,0.000495832132616936,161580
1,0.0482745436575734,0.000592942246268092,149199
2,0.0552131930819712,0.000669504071656916,135475
3,0.0539673283010468,0.000701110907717471,121123
4,0.0540618531766907,0.000744790998271705,107308
5,0.0512061772542769,0.000764911166947072,95166
