acq_filer_bin,n_transfers,n_owners,n_pids,mean_units,total_units_sum,pct_corporate,mean_portfolio,median_price,mean_acq_rate,mean_n_other,pct_of_transfers,pct_of_units
Single-purchase,424834,344550,271436,1.6,155290,15.3,20.9,92000,,0,78.6,60.6
Non-filer (has portfolio),57421,25864,52281,1.3,46014,42.3,10.7,58000,0,3.4,10.6,18
Low-filer portfolio,28894,4448,27336,1.3,24366,74.1,114.1,40500,0.02634,62.8,5.3,9.5
High-filer portfolio,29436,8344,26850,1.4,30383,58.2,218.5,42000,0.11212,142.3,5.4,11.9
