acq_filer_bin,is_corp,n_transfers,n_owners,mean_units,total_units_sum,mean_portfolio,mean_acq_rate,pct_of_bin
High-filer portfolio,TRUE,17128,3156,1.6,19767,287.9,0.09929,58.2
High-filer portfolio,FALSE,12308,5242,1.2,10616,122,0.12998,41.8
Low-filer portfolio,TRUE,21410,2249,1.3,18087,145.2,0.02601,74.1
Low-filer portfolio,FALSE,7484,2260,1.3,6279,24.8,0.02728,25.9
Non-filer (has portfolio),TRUE,24268,7736,1.5,19847,18.2,0,42.3
Non-filer (has portfolio),FALSE,33153,18250,1.3,26167,5.2,0,57.7
Single-purchase,TRUE,64857,32694,3.1,51581,105.8,,15.3
Single-purchase,FALSE,359977,312068,1.3,103709,5.6,,84.7
