term,estimate,std_error,t_value,p_value,spec
et_m3:acq_rate_demean,-0.17541645300138,0.14542602785043,-1.20622460500534,0.227738510284869,acq_rate_continuous
acq_rate_demean:et_m1,-0.159102078381361,0.0761725170730898,-2.08870711504384,0.0367408232727414,acq_rate_continuous
acq_rate_demean:et_0,-0.139518589679078,0.113970349823992,-1.22416567023389,0.220897428725391,acq_rate_continuous
acq_rate_demean:et_1,0.0499074551127244,0.130859468178771,0.381382071983849,0.702921923147823,acq_rate_continuous
acq_rate_demean:et_2,0.11483234471051,0.200711178424861,0.572127300590282,0.567239165006737,acq_rate_continuous
acq_rate_demean:et_3,0.0766688576604665,0.151530212541522,0.50596416631738,0.612884780106116,acq_rate_continuous
acq_rate_demean:et_4,-0.0619011273623736,0.13249829048605,-0.467184347324775,0.640370706317726,acq_rate_continuous
acq_rate_demean:et_5,0.0902308928218151,0.123025631449599,0.733431657766221,0.463299782207812,acq_rate_continuous
