term,estimate,std_error,t_value,p_value,subgroup,n
window2_transition,0.000128155613195478,0.000789556322204046,0.162313453254015,0.8710601428397,full,282271
window3_early_post,0.0085646063196391,0.000934965911466235,9.16034072965065,5.50166655052212e-20,full,282271
window4_late_post,0.00780006546779197,0.000910337759996889,8.56832025491135,1.10087555372751e-17,full,282271
window2_transition,-0.00397996767470674,0.00154351735929406,-2.57850528906718,0.00993382911657222,corporate,99187
window3_early_post,0.011570731872953,0.00215605148501778,5.36663059920277,8.16052071805809e-08,corporate,99187
window4_late_post,0.00934191314213649,0.00238683736898771,3.91392947987005,9.12715178258637e-05,corporate,99187
window2_transition,0.00240551995416066,0.000934993842689197,2.57276555666077,0.0100954149804822,individual,182218
window3_early_post,0.00622739031673681,0.00104294039544899,5.9709934948448,2.39414441569093e-09,individual,182218
window4_late_post,0.00567094103161044,0.0010334596254413,5.4873367976895,4.12517244611681e-08,individual,182218
window2_transition,-0.0100325714651962,0.00560977074842213,-1.78841024261429,0.073840573136964,highfiler_portfolio,16637
window3_early_post,0.0104416888830072,0.00794796785338047,1.31375580219113,0.189058570418318,highfiler_portfolio,16637
window4_late_post,0.00250958498708315,0.0100994854865711,0.248486419473551,0.803780116748925,highfiler_portfolio,16637
window2_transition,-0.00898032597595912,0.00378144842754001,-2.37483761792335,0.0176316940987069,lowfiler_portfolio,16873
window3_early_post,0.0105470476972306,0.00627147622001762,1.68174881434868,0.09274240212083,lowfiler_portfolio,16873
window4_late_post,0.00361053563224648,0.0085515755857777,0.422207065356615,0.672910175879804,lowfiler_portfolio,16873
window2_transition,-0.00413431366133482,0.00254763707353124,-1.62280322589446,0.104728612967419,nonfiler_has_portfolio,22252
window3_early_post,0.00935723342934247,0.00423511216149211,2.20944170367515,0.0272135250216217,nonfiler_has_portfolio,22252
window4_late_post,0.00461540902379886,0.00539231244851893,0.855923885691479,0.392103077697833,nonfiler_has_portfolio,22252
window2_transition,0.00190339216898594,0.000849922465115289,2.23948918531969,0.0251324931199693,singlepurchase,225864
window3_early_post,0.00681402185085252,0.000976525212703408,6.97782480391737,3.06946976954687e-12,singlepurchase,225864
window4_late_post,0.00644369031853603,0.000977098803777095,6.59471723189831,4.34207471138181e-11,singlepurchase,225864
