buyer_type,n_transfers,mean_units,median_units,mean_filing_rate,mean_violations,median_price,pct_sheriff
Individual,121449,1.3,1,0.0293,0.36,129000,5.6
Corporate,34590,2.2,1,0.0402,0.64,51000,30.1
