property_evict_class,n_transfers,n_pids,pct_corporate,mean_portfolio,median_price,mean_units,total_units,pct_sheriff
Above-median filing,87556,49852,35.2,36.9,90000,1.7,146452,10.3
Below-median filing,134546,79104,32.2,31.3,106900,1.4,186940,10.1
