term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::1,-0.012,0.005135,-2.34,0.0195,pct_black_port_5_9,1328693,0.9051,4006,41673,20144,117404
event_time::2,-0.014477,0.005159,-2.81,0.005,pct_black_port_5_9,1328693,0.9051,4006,41673,20144,117404
event_time::3,0.006932,0.007443,0.93,0.3517,pct_black_port_5_9,1328693,0.9051,4006,41673,20144,117404
event_time::4,0.018442,0.007387,2.5,0.0125,pct_black_port_5_9,1328693,0.9051,4006,41673,20144,117404
event_time::5,0.00989,0.008294,1.19,0.2331,pct_black_port_5_9,1328693,0.9051,4006,41673,20144,117404
event_time::-3,-0.002829,0.00228,-1.24,0.2147,pct_black_port_10_,1365907,0.9058,7955,79020,37904,117404
event_time::-1,-0.004891,0.005329,-0.92,0.3587,pct_black_port_10_,1365907,0.9058,7955,79020,37904,117404
event_time::0,0.002146,0.003413,0.63,0.5294,pct_black_port_10_,1365907,0.9058,7955,79020,37904,117404
event_time::1,0.002841,0.003893,0.73,0.4654,pct_black_port_10_,1365907,0.9058,7955,79020,37904,117404
event_time::2,0.00288,0.00377,0.76,0.445,pct_black_port_10_,1365907,0.9058,7955,79020,37904,117404
event_time::3,0.008719,0.004522,1.93,0.0538,pct_black_port_10_,1365907,0.9058,7955,79020,37904,117404
event_time::4,0.005623,0.003391,1.66,0.0973,pct_black_port_10_,1365907,0.9058,7955,79020,37904,117404
event_time::5,0.006165,0.005649,1.09,0.2751,pct_black_port_10_,1365907,0.9058,7955,79020,37904,117404
