buyer_type,n_transfers,mean_units,median_units,mean_filing_rate,mean_violations,median_price,pct_sheriff
Individual,412922,1.3,1,0.006,0.38,95000,4.8
Corporate,127663,1.9,1,0.0112,0.69,40000,35.1
