term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::4,0.000574,0.002031,0.28,0.7776,pct_asian_port_2_4,1383207,0.5671,9125,96272,47110,117404
event_time::5,0.001526,0.001955,0.78,0.4352,pct_asian_port_2_4,1383207,0.5671,9125,96272,47110,117404
event_time::-3,-0.00024,0.001715,-0.14,0.8887,pct_asian_port_5_9,1328693,0.572,4006,41673,20144,117404
event_time::-1,-0.000304,0.001557,-0.2,0.845,pct_asian_port_5_9,1328693,0.572,4006,41673,20144,117404
event_time::0,0.002093,0.001771,1.18,0.2372,pct_asian_port_5_9,1328693,0.572,4006,41673,20144,117404
event_time::1,0.009796,0.002309,4.24,0,pct_asian_port_5_9,1328693,0.572,4006,41673,20144,117404
event_time::2,0.005358,0.00235,2.28,0.0226,pct_asian_port_5_9,1328693,0.572,4006,41673,20144,117404
event_time::3,0.000971,0.002898,0.33,0.7377,pct_asian_port_5_9,1328693,0.572,4006,41673,20144,117404
event_time::4,5e-06,0.003023,0,0.9988,pct_asian_port_5_9,1328693,0.572,4006,41673,20144,117404
event_time::5,-0.000278,0.002932,-0.09,0.9246,pct_asian_port_5_9,1328693,0.572,4006,41673,20144,117404
event_time::-3,-0.002006,0.001141,-1.76,0.0788,pct_asian_port_10_,1365907,0.5711,7955,79020,37904,117404
event_time::-1,-0.004358,0.000948,-4.6,0,pct_asian_port_10_,1365907,0.5711,7955,79020,37904,117404
event_time::0,-0.005888,0.001888,-3.12,0.0018,pct_asian_port_10_,1365907,0.5711,7955,79020,37904,117404
event_time::1,-0.004867,0.001716,-2.84,0.0046,pct_asian_port_10_,1365907,0.5711,7955,79020,37904,117404
event_time::2,-0.003083,0.001849,-1.67,0.0955,pct_asian_port_10_,1365907,0.5711,7955,79020,37904,117404
event_time::3,-0.005315,0.003134,-1.7,0.0899,pct_asian_port_10_,1365907,0.5711,7955,79020,37904,117404
event_time::4,-0.003038,0.005321,-0.57,0.5681,pct_asian_port_10_,1365907,0.5711,7955,79020,37904,117404
event_time::5,-0.000367,0.002641,-0.14,0.8895,pct_asian_port_10_,1365907,0.5711,7955,79020,37904,117404
