scenario,c_source,bC_M_note,m0,bM_C,mean_m_rate_cf,zero_share_m_cf,beta_maint_on_c_rate_cf
fixed_c_rate,c_rate,current_equilibrium_panel,0.12,1.5,0.130539193777746,0,0.925321603813832
fixed_c_rate,c_rate,current_equilibrium_panel,0.12,1.75,0.137072489188424,0,1.06726694084783
fixed_c_rate,c_rate,current_equilibrium_panel,0.12,2,0.144619008427392,0,1.20738607939039
fixed_c_rate,c_rate,current_equilibrium_panel,0.12,2.25,0.153394750123312,0,1.346214111042
fixed_c_rate,c_rate,current_equilibrium_panel,0.12,2.5,0.163670114876771,0,1.48414240814262
fixed_c_rate,c_rate,current_equilibrium_panel,0.12,2.75,0.175785291060731,0,1.62139551170099
fixed_c_rate,c_rate,current_equilibrium_panel,0.12,3,0.190170398238065,0,1.75803192986916
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,-0.5,0.138603514697817,0,-0.338208751734405
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,-0.25,0.142183353510638,0,-0.165490099801596
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,0,0.146129017020833,0,0.00301796607854012
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,0.25,0.150499803350727,0,0.1671617242569
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,0.5,0.155367194326907,0,0.326868099431778
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,0.75,0.160817743804542,0,0.482201324230648
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,1,0.166956732407236,0,0.633406757714065
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,1.25,0.17391281232443,0,0.780919047385399
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,1.5,0.181843936288267,0,0.925321603771473
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,1.75,0.190944958900944,0,1.06726694078606
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,2,0.20145742434504,0,1.20738607929476
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,2.25,0.213682223408467,0,1.34621411089563
