source,mean_m_rate,zero_share_m,beta_maint_on_c_rate
empirical_target,0.0441024730331521,0.802160504663928,1.20232679111338
baseline_sim,0.172918922361633,0.7908,-0.035170097289743
calibrated_best,0.147325287319525,0.8134,0.223311375322803
