eval_id,objective,Dalph,sigma_eta_sort,p_bad_shape1,p_bad_shape2,aF,bF_theta,bF_delta,aC,bC_theta,bC_s_bad,bC_old,bC_new,bC_M,m0,bM_theta,bM_old,bM_new,bM_C,target_mean_f_rate,sim_mean_f_rate,target_mean_m_rate,sim_mean_m_rate,target_mean_c_rate,sim_mean_c_rate,target_mean_m_rate_pos,sim_mean_m_rate_pos,target_m_rate_pos_p50,sim_m_rate_pos_p50,target_m_rate_pos_p90,sim_m_rate_pos_p90,target_nhood_mean_s_sd,sim_nhood_mean_s_sd,target_nhood_mean_s_p90_p10,sim_nhood_mean_s_p90_p10,target_nhood_mean_f_rate_sd,sim_nhood_mean_f_rate_sd,target_nhood_mean_f_rate_p90_p10,sim_nhood_mean_f_rate_p90_p10,target_sorting_coef_high_filing_nhood,sim_sorting_coef_high_filing_nhood,target_sorting_coef_high_bin_nhood,sim_sorting_coef_high_bin_nhood,target_beta_ppml_s,sim_beta_ppml_s,target_beta_ppml_s_x_high_filing,sim_beta_ppml_s_x_high_filing,target_beta_maint_on_c_rate,sim_beta_maint_on_c_rate,target_filing_resid_sd_nhood_fe,sim_filing_resid_sd_nhood_fe
299,5.04886242826256,10.0608876618474,0.527838245308758,2.16427973531467,5.99400462440812,-2.22019912967957,0.821494803365979,0.766339839895251,-2.29760007414007,0.139064208811502,-0.288280435579571,0.33892041270896,0.0493498328854923,-0.106815236618927,0.220552841720173,-0.0807820376895219,0.401355067998238,0.138453847974407,0.35161985919673,0.044241339993459,0.15378534682289,0.0441024730331521,0.29392126790964,0.071375934398548,0.120645914089999,0.256854603562484,0.32550032768567,0.125,0.333333333333333,0.555555555555556,0.555555555555556,0.310673322365642,0.119730794139628,0.840913393975788,0.316028468733076,0.0386669403524218,0.0347233195005798,0.0808385761830327,0.0879596835073807,0.0658888106203269,0.142142721611696,0.072062596883406,0.141957883909876,-0.0569810497914896,0.114867497687312,-0.115921198470314,-0.118110760623899,1.20232679111338,0.511667933580653,0.126117532234751,0.13359036397119
249,5.07683340070913,10.0591678494727,0.529385545376947,2.16505305896515,5.99426055386622,-2.22094330337586,0.822791931212957,0.781240608398927,-2.30106793445516,0.14421225085856,-0.28857469468077,0.339071785786228,0.0497459609810516,-0.10721611011004,0.220634444147992,-0.088119826338431,0.388957136129348,0.135741723380656,0.357085609567859,0.044241339993459,0.153916301472132,0.0441024730331521,0.290761899146971,0.071375934398548,0.119543204882724,0.256854603562484,0.322287745456129,0.125,0.333333333333333,0.555555555555556,0.555555555555556,0.310673322365642,0.120034670047439,0.840913393975788,0.316880619080609,0.0386669403524218,0.0350395737654205,0.0808385761830327,0.0902323723140049,0.0658888106203269,0.143225026013642,0.072062596883406,0.142860746630307,-0.0569810497914896,-0.0613691288753655,-0.115921198470314,0.0293009667432449,1.20232679111338,0.495002022693602,0.126117532234751,0.133508335883208
278,5.08372563057489,10.0654872989446,0.530048786627498,2.15560356200453,5.99460832534842,-2.22137094310616,0.823129778506581,0.766841196915732,-2.30236498510581,0.139864175125627,-0.285991445564603,0.344138497349186,0.0499059225257673,-0.108750289896042,0.224660572645348,-0.081107209470164,0.397309092252669,0.142459745287863,0.349158312872603,0.044241339993459,0.153768713942575,0.0441024730331521,0.299453145254251,0.071375934398548,0.119745844903464,0.256854603562484,0.329843749910848,0.125,0.333333333333333,0.555555555555556,0.555555555555556,0.310673322365642,0.120172462976391,0.840913393975788,0.317162880510641,0.0386669403524218,0.0349928433622444,0.0808385761830327,0.0902323723140049,0.0658888106203269,0.143075677792095,0.072062596883406,0.142526521972134,-0.0569810497914896,-0.0284253310486636,-0.115921198470314,-0.116210771059241,1.20232679111338,0.494556268595596,0.126117532234751,0.133365754427446
317,5.11222980032462,10.0600277556601,0.528611895342852,2.16466639713991,5.99413258913717,-2.22057121652771,0.822143367289468,0.773790224147089,-2.29933400429762,0.141638229835031,-0.28842756513017,0.338996099247594,0.049547896933272,-0.107015673364483,0.220593642934083,-0.0844509320139765,0.395156102063793,0.137097785677531,0.354352734382295,0.044241339993459,0.153878038038543,0.0441024730331521,0.29208883988394,0.071375934398548,0.119548807742642,0.256854603562484,0.323939654645145,0.125,0.333333333333333,0.555555555555556,0.555555555555556,0.310673322365642,0.119882759921461,0.840913393975788,0.316454645731358,0.0386669403524218,0.0350082261187244,0.0808385761830327,0.0902323723140049,0.0658888106203269,0.143023980113264,0.072062596883406,0.142586501365275,-0.0569810497914896,-0.0529318142624029,-0.115921198470314,-0.04154191621757,1.20232679111338,0.482101225708195,0.126117532234751,0.133488959697418
255,5.14309792481399,10.0549505334848,0.525489558517744,2.16459049237152,5.99638391769399,-2.22308404498583,0.822189746587457,0.785179595662626,-2.30025999834632,0.134224825351348,-0.295017954687805,0.336446769410472,0.045746029216294,-0.105143932199503,0.224297976464695,-0.0885437644677333,0.404901109735313,0.138441946789492,0.358728076162633,0.044241339993459,0.154337140675128,0.0441024730331521,0.300169842791959,0.071375934398548,0.119231845952975,0.256854603562484,0.330701175976934,0.125,0.333333333333333,0.555555555555556,0.555555555555556,0.310673322365642,0.11942508322044,0.840913393975788,0.314974180029549,0.0386669403524218,0.0332985876264661,0.0808385761830327,0.080247970201328,0.0658888106203269,0.143007770964538,0.072062596883406,0.146344925238579,-0.0569810497914896,0.112174454373098,-0.115921198470314,-0.271993866948089,1.20232679111338,0.511968744519611,0.126117532234751,0.133826227548944
246,5.14779127866817,10.0707152992463,0.528917159205286,2.16537227815375,6.00206956492572,-2.21861371190244,0.82425746574735,0.769207806857606,-2.30554122346174,0.135475377037922,-0.290453468215039,0.338762645209981,0.0487614385776207,-0.111768369755817,0.223470547019972,-0.0896571202192312,0.406392229678047,0.136371013840505,0.353207496382197,0.044241339993459,0.154222233241402,0.0441024730331521,0.298177176877026,0.071375934398548,0.119940676060207,0.256854603562484,0.329007005499182,0.125,0.333333333333333,0.555555555555556,0.555555555555556,0.310673322365642,0.120039159646129,0.840913393975788,0.316534260688011,0.0386669403524218,0.0328659788991984,0.0808385761830327,0.0823526799312963,0.0658888106203269,0.143348047795983,0.072062596883406,0.147333817722887,-0.0569810497914896,0.0320243898763166,-0.115921198470314,-0.169860997990926,1.20232679111338,0.485056196289222,0.126117532234751,0.136542304784127
250,5.1543187654512,10.0225477307386,0.529698283391572,2.15846182071504,5.99428182605012,-2.22527264643926,0.823673544740361,0.747964550340586,-2.27735391060687,0.143406160287675,-0.281327930339614,0.342319420828113,0.0576355325632531,-0.115431813276799,0.224441315337635,-0.0920739196902069,0.42279302966024,0.153956918767368,0.349527955640401,0.044241339993459,0.153094789457414,0.0441024730331521,0.302248484299506,0.071375934398548,0.12360094440401,0.256854603562484,0.335366747321573,0.125,0.333333333333333,0.555555555555556,0.555555555555556,0.310673322365642,0.119882787592343,0.840913393975788,0.316088148973799,0.0386669403524218,0.0329448064357615,0.0808385761830327,0.0868275264250321,0.0658888106203269,0.142021586954527,0.072062596883406,0.144889942473543,-0.0569810497914896,-0.0721782180901338,-0.115921198470314,0.0202720865098683,1.20232679111338,0.493807612117648,0.126117532234751,0.132185660970897
150,5.17335962873931,10.0557961370187,0.532621632561088,2.14949699664535,5.9936378714579,-2.21491917027885,0.823747315439054,0.697562045791533,-2.26448868036428,0.157416438952738,-0.285618476222971,0.340262960964836,0.052358228022756,-0.101831539568805,0.222732087345824,-0.0835345977766083,0.397069798630704,0.135180205982555,0.36799026449957,0.044241339993459,0.154200368422208,0.0441024730331521,0.297060645980475,0.071375934398548,0.125689171292116,0.256854603562484,0.327800815446051,0.125,0.333333333333333,0.555555555555556,0.555555555555556,0.310673322365642,0.120370649771845,0.840913393975788,0.31115037713922,0.0386669403524218,0.032840656461391,0.0808385761830327,0.0824937734057231,0.0658888106203269,0.141842188407363,0.072062596883406,0.145960921757207,-0.0569810497914896,0.111886823799152,-0.115921198470314,-0.0756802107068341,1.20232679111338,0.497854164764781,0.126117532234751,0.136417478722101
222,5.21191492004102,10.0464138698722,0.525945876700006,2.16903200838628,5.99472898683155,-2.22327525213604,0.821453788079509,0.795630531454712,-2.28387847884614,0.142791078858513,-0.293712209634741,0.320307501807138,0.04922055785771,-0.103743437326339,0.217546973596222,-0.0915611639079199,0.39543416763319,0.133505168167185,0.361739547146564,0.044241339993459,0.153010609903519,0.0441024730331521,0.289288483643564,0.071375934398548,0.121001529756455,0.256854603562484,0.319087029685216,0.125,0.333333333333333,0.555555555555556,0.555555555555556,0.310673322365642,0.119505907732296,0.840913393975788,0.315262237441813,0.0386669403524218,0.0350460586983618,0.0808385761830327,0.0884807256235827,0.0658888106203269,0.145271121883998,0.072062596883406,0.148356509678808,-0.0569810497914896,0.0764742198807597,-0.115921198470314,-0.138504939442094,1.20232679111338,0.465067183883215,0.126117532234751,0.134392652566074
191,5.22411847387214,10.0400805033629,0.522713114473387,2.17541905998792,5.99706716694204,-2.23526745664214,0.815875062847245,0.911733055785802,-2.29107543270877,0.130501692692525,-0.299514496383493,0.334112972919185,0.0463418081116881,-0.104546906992849,0.217260738198896,-0.129198589522449,0.393715191164546,0.141558127064217,0.367509758624062,0.044241339993459,0.151151651262386,0.0441024730331521,0.285395901595831,0.071375934398548,0.12111874080506,0.256854603562484,0.315844069009884,0.125,0.305555555555556,0.555555555555556,0.555555555555556,0.310673322365642,0.119043984065203,0.840913393975788,0.313422516385135,0.0386669403524218,0.0323563374339172,0.0808385761830327,0.0828014184397163,0.0658888106203269,0.141875805383237,0.072062596883406,0.146570117408029,-0.0569810497914896,-0.0777225877392091,-0.115921198470314,-0.127377604230888,1.20232679111338,0.439779646964799,0.126117532234751,0.133878921535525
