dest_evict_bin,n_moves,mean_orig_pct_black,mean_dest_pct_black,mean_orig_evict_eb,mean_orig_loo_tract,mean_dest_loo_tract,mover_pct_black,mover_pct_female,mean_orig_rent,mean_dest_rent
"[0,1)",51525,0.327,0.331,0.0492,0.039,0.0388,0.247,0.588,7.249,7.468
"[1,5)",8215,0.28,0.276,0.0474,0.0356,0.0377,0.176,0.571,7.28,7.35
"[5,10)",12252,0.48,0.497,0.0796,0.0526,0.0549,0.448,0.63,6.948,7.034
"[10,20)",10109,0.505,0.523,0.0894,0.0563,0.0587,0.48,0.645,6.879,6.917
"[20,inf)",5879,0.578,0.569,0.1143,0.0643,0.0732,0.547,0.663,6.773,6.781
