orig_evict_bin,n_moves,mean_orig_pct_black,mean_dest_pct_black,mean_dest_evict_eb,mean_orig_loo_tract,mean_dest_loo_tract,delta_loo_tract,mover_pct_black,mover_pct_female,mean_orig_rent,mean_dest_rent
"[0,1)",49277,0.331,0.342,0.0454,0.0376,0.0405,0.0029,0.255,0.583,7.451,7.314
"[1,5)",8759,0.231,0.263,0.0383,0.0337,0.0333,-4e-04,0.157,0.572,7.339,7.403
"[5,10)",13103,0.472,0.463,0.0752,0.0519,0.0533,0.0014,0.416,0.636,6.98,7.055
"[10,20)",10813,0.517,0.503,0.0859,0.0573,0.0568,-5e-04,0.468,0.646,6.848,6.961
"[20,inf)",6191,0.557,0.557,0.1063,0.0725,0.0658,-0.0067,0.547,0.664,6.738,6.86
