high_evict_eb_city,n_transfers,n_pids,transfer_rate_per_bldg_yr,median_price,median_price_per_unit,pct_sheriff,share_violations
FALSE,196360,112747,1.742,105000,90000,9.8,0.0949225911590955
TRUE,31308,16672,1.878,65000,56828.2009090909,11.8,0.126868532004599
