year,building_type,n_transfers,median_price
2023,ROW,6923,165000
2023,SMALL_MULTI_2_4,963,280000
2023,TWIN,934,263400
2024,COMMERCIAL,24,440000
2024,DETACHED,83,310000
2024,HIGHRISE_MULTI,1,20936474.79
2024,LOWRISE_MULTI,60,730000
2024,MIDRISE_MULTI,18,1858730
2024,OTHER,229,286659
2024,ROW,3504,183000
2024,SMALL_MULTI_2_4,549,305000
2024,TWIN,454,294500
