filing_rate_eb_cuts,n_transfers,n_pids,transfer_rate_per_bldg_yr,median_price,median_price_per_unit,pct_sheriff,share_violations
"",2313,1666,1.388,205000,136000,10.9,0.0920881971465629
(0-1%],154692,89527,1.728,114900,97500,9.5,0.0912005792154733
(1-5%],8014,5232,1.532,213500,95000,6.2,0.114549538307961
(10-20%],21833,11466,1.904,63000,55050.5,12.1,0.116887280721843
(5-10%],34805,18681,1.863,70000,64000,11.9,0.109467030599052
20%+,8324,4513,1.844,65000,55000,11.3,0.146924555502162
