high_evict_eb_city,n_transfers,pct_corp_buyer,pct_corp_seller,Corporate -> Corporate,Corporate -> Individual,Individual -> Corporate,Individual -> Individual
FALSE,196360,32.2,32.3,12.9,19.3,19.2,48.5
TRUE,31308,44.2,40.4,21.6,18.8,22.6,37
