deed_type,n_transfers,median_units,median_violations,mean_filing_rate,median_rent,median_price,median_price_per_unit
Sheriff,23189,1,0,0.0483,950,21000,20000
Regular,206792,1,0,0.0425,1195.20198117184,115000,95000
