apt_id,place_id,place_name,formatted_address,rating,user_ratings_total,url,types,text_search_query
7033 n 15th st,ChIJpXJCYEO3xokRtHtstg0cmeE,Hammond Gardens,"7101 N 15th St, Philadelphia, PA 19126, USA",2.7,3,https://maps.google.com/?cid=16256055175191231412,establishment|park|point_of_interest,"7033 n 15th st, philadelphia, PA 19126 apartments"
7101 n 15th st,ChIJpXJCYEO3xokRtHtstg0cmeE,Hammond Gardens,"7101 N 15th St, Philadelphia, PA 19126, USA",2.7,3,https://maps.google.com/?cid=16256055175191231412,establishment|park|point_of_interest,"7101 n 15th st, philadelphia, PA 19126 apartments"
6649 n 16th st,ChIJMewIuGe3xokRTW4yRREwgrg,Jjy Apartments,"6649 N 16th St, Philadelphia, PA 19126, USA",5,1,https://maps.google.com/?cid=13295241900684635725,establishment|point_of_interest,"6649 n 16th st, philadelphia, PA 19126 apartments"
7000 n broad st,ChIJk_btRyzyb0ARh-NDpK9m_zc,Windsor Terrace apartments,"7000 N Broad St, Philadelphia, PA 19126, USA",3,4,https://maps.google.com/?cid=4035056695708476295,establishment|point_of_interest,"7000 n broad st, philadelphia, PA 19126 apartments"
1410 72nd ave,ChIJDeWAjkS3xokRsoETgspETSI,Bently Manor Apartments,"1410 72nd Ave, Philadelphia, PA 19126, USA",2.8,25,https://maps.google.com/?cid=2471707407052669362,establishment|point_of_interest,"1410 72nd ave, philadelphia, PA 19126 apartments"
1260 oak ln,ChIJAdjTOWS3xokRoUzQVDnYLX0,Oak Lane Court Apartments,"1623 W Chelten Ave, Philadelphia, PA 19126, USA",2.5,6,https://maps.google.com/?cid=9020103369440644257,establishment|point_of_interest,"1260 oak ln, philadelphia, PA 19126 apartments"
6628 n 8th st,ChIJKTIRiGy3xokRLK-dOCXu4xg,Eola Park Apartments,"6344 N 8th St, Philadelphia, PA 19126, USA",4.5,8,https://maps.google.com/?cid=1793538920254648108,establishment|point_of_interest,"6628 n 8th st, philadelphia, PA 19126 apartments"
6455 n broad st,ChIJyUbGtGi3xokR0DnUTe95pr4,Broad Plaza Apartments,"6455 N Broad St, Philadelphia, PA 19126, USA",2.3,3,https://maps.google.com/?cid=13737801782050175440,establishment|point_of_interest,"6455 n broad st, philadelphia, PA 19126 apartments"
6907 old york rd,ChIJ0y2DQ0K3xokR5TaC1vAugQ0,Bromley House Apartments,"6901 Old York Rd # A107, Philadelphia, PA 19126, USA",4.3,91,https://maps.google.com/?cid=973110606414624485,establishment|point_of_interest,"6907 old york rd, philadelphia, PA 19126 apartments"
1325 66th ave,ChIJM090A2m3xokR4vcpAaz_6uk,Broad Oak Associates,"1325 66th Ave, Philadelphia, PA 19126, USA",3.5,8,https://maps.google.com/?cid=16855565669606488034,establishment|point_of_interest,"1325 66th ave, philadelphia, PA 19126 apartments"
200 w cheltenham ave,ChIJTaEbOha3xokRuizhoiDAHtI,Melrose Park Manor,"210 W Cheltenham Ave, Philadelphia, PA 19126, USA",4.2,11,https://maps.google.com/?cid=15140750243670338746,establishment|point_of_interest|real_estate_agency,"200 w cheltenham ave, philadelphia, PA 19126 apartments"
1623 chelten ave,ChIJAdjTOWS3xokRoUzQVDnYLX0,Oak Lane Court Apartments,"1623 W Chelten Ave, Philadelphia, PA 19126, USA",2.5,6,https://maps.google.com/?cid=9020103369440644257,establishment|point_of_interest,"1623 chelten ave, philadelphia, PA 19126 apartments"
6608 n 12th st,ChIJ__-Pnmm3xokRdl-sCTNBkS4,Premier Apartments,"6608 N 12th St, Philadelphia, PA 19126, USA",,,https://maps.google.com/?cid=3355534884829159286,establishment|point_of_interest,"6608 n 12th st, philadelphia, PA 19126 apartments"
6610 n 8th st,ChIJ-3IQB2G3xokRLYsVKrN82nc,Oak Lynne Apartments,"R6610 N 8th St, Philadelphia, PA 19138, USA",2.3,4,https://maps.google.com/?cid=8636352344383392557,establishment|point_of_interest,"6610 n 8th st, philadelphia, PA 19126 apartments"
6515 n broad st,ChIJEQ3dwGi3xokRlMFiLr4qKlE,Queen Court Apartments,"6515 N Broad St #19, Philadelphia, PA 19126, USA",2.3,3,https://maps.google.com/?cid=5848534062404387220,establishment|point_of_interest,"6515 n broad st, philadelphia, PA 19126 apartments"
