variable,n_obs,n_pid,overall_sd,between_pid_sd,within_pid_sd,between_geoid_year_sd,within_geoid_year_sd,r2_pid,r2_year,r2_geoid_year,r2_pid_geoid_year
infousa_pct_black,1821840,177421,0.422390849476314,0.407457494789132,0.120528861869068,0.385164677808455,0.19068447927418,0.909771793444842,0.000108209149318084,0.794300431504286,0.91057444178686
infousa_pct_black_female,1754745,176717,0.340785695349794,0.299679441759765,0.169886201289344,0.24195332090334,0.245500467039091,0.723559360224393,8.03199931103116e-05,0.476028311947937,0.724118973374786
infousa_pct_female,1758534,176803,0.363437907765689,0.268403567831,0.260546590060513,0.0747355877992312,0.358614978010923,0.428067831012283,0.00100688696223961,0.0169245462279097,0.429715607192148
