sample,stem,term,baseline,tenant_augmented,estimate_delta
full,complaint,filed_complaint,0.0426821721576279,0.0414543528736378,-0.00122781928399009
full,non_severe,filed_non_severe,0.00678227429250852,0.00677028752703621,-1.19867654723048e-05
full,severe,filed_severe,0.0801541909741346,0.0773250607041836,-0.00282913026995103
pre,complaint,filed_complaint,0.0426821721576279,0.0414543528736378,-0.00122781928399009
pre,non_severe,filed_non_severe,0.00678227429250852,0.00677028752703621,-1.19867654723048e-05
pre,severe,filed_severe,0.0801541909741346,0.0773250607041836,-0.00282913026995103
