high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
low_or_mid_filing,111564,0.119653293177011,0.129799935463053,0.750546771359937,0.548937935263407,0.3689890787393
high_filing,163498,0.199525376457204,0.168307869209409,0.632166754333386,0.584396335707133,0.345573333678376
missing,693,0.0721500721500722,0.0692640692640693,0.858585858585859,0.56656998174285,0.360900462206864
