filing_rate_longrun_pre2019_cuts,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_female,mean_case_p_male
0,30795,0.090274395194025,0.0921253450235428,0.817600259782432,0.70444675621237,0.295553243787632
(0-5%],28281,0.163431278950532,0.15126763551501,0.685301085534458,0.569426927835207,0.430573072164793
(5-10%],44758,0.153894275883641,0.125832253451897,0.720273470664462,0.621261007166196,0.378738992833804
(10-20%],50794,0.17320943418514,0.152006142457771,0.67478442335709,0.607107503273415,0.392892496726585
20%+,100632,0.238979648620717,0.163317831306145,0.597702520073138,0.626530940666889,0.373469059333109
missing,618,0.0728155339805825,0.0711974110032362,0.855987055016181,0.58718241639698,0.412817583603021
