term,estimate,std_error,t_value,p_value,timing,sample,stem,model,conf_low,conf_high,stem_label,sample_label
lag_complaint_2,0.00968495198663779,0.000414269989517797,23.3783576693811,1.3702241626853e-120,-2,pre,complaint,distributed_lag,0.00887298280718291,0.0104969211660927,Any Complaint,Pre-COVID (<=2019)
lag_complaint_1,0.0183823514734576,0.000456397024830029,40.2771062767192,0,-1,pre,complaint,distributed_lag,0.0174878133047907,0.0192768896421244,Any Complaint,Pre-COVID (<=2019)
filed_complaint,0.0307568266897784,0.000537019860313912,57.2731642956364,0,0,pre,complaint,distributed_lag,0.0297042677635632,0.0318093856159937,Any Complaint,Pre-COVID (<=2019)
lead_complaint_1,0.0154045406463609,0.000446298249155457,34.5162470959978,1.02474115246815e-259,1,pre,complaint,distributed_lag,0.0145297960780162,0.0162792852147056,Any Complaint,Pre-COVID (<=2019)
lead_complaint_2,0.00554417137862485,0.000372953296579353,14.8655915619323,6.14344311834791e-50,2,pre,complaint,distributed_lag,0.00481318291732932,0.00627515983992038,Any Complaint,Pre-COVID (<=2019)
lead_complaint_3,0.00328997954498716,0.000362441683899714,9.07726591927401,1.1305307948597e-19,3,pre,complaint,distributed_lag,0.00257959384454372,0.0040003652454306,Any Complaint,Pre-COVID (<=2019)
lead_complaint_4,0.00208340609763137,0.000333710661561064,6.24315114142717,4.30351711308683e-10,4,pre,complaint,distributed_lag,0.00142933320097169,0.00273747899429106,Any Complaint,Pre-COVID (<=2019)
lead_complaint_5,0.000996621204384316,0.00034426986399863,2.89488366134853,0.00379371324590614,5,pre,complaint,distributed_lag,0.000321852270947001,0.00167139013782163,Any Complaint,Pre-COVID (<=2019)
lead_complaint_6,0.00085401010284876,0.000338318858056076,2.52427579046513,0.0115950448097046,6,pre,complaint,distributed_lag,0.000190905141058851,0.00151711506463867,Any Complaint,Pre-COVID (<=2019)
lead_complaint_7,0.000635584464060113,0.000322176040393497,1.97278625463218,0.0485223417406186,7,pre,complaint,distributed_lag,4.1194248888586e-06,0.00126704950323137,Any Complaint,Pre-COVID (<=2019)
lead_complaint_8,0.000500398949198344,0.000331437925183456,1.50978180581286,0.13110189164346,8,pre,complaint,distributed_lag,-0.000149219384161229,0.00115001728255792,Any Complaint,Pre-COVID (<=2019)
lead_complaint_9,0.000468487448644203,0.000332149365710049,1.41047220620969,0.158403037116605,9,pre,complaint,distributed_lag,-0.000182525308147493,0.0011195002054359,Any Complaint,Pre-COVID (<=2019)
lead_complaint_10,0.000678345288482811,0.000337975003267776,2.00708715710955,0.0447427491193168,10,pre,complaint,distributed_lag,1.59142820779705e-05,0.00134077629488765,Any Complaint,Pre-COVID (<=2019)
lead_complaint_11,0.000326670759960617,0.000335429355412479,0.973888405082818,0.330114026149934,11,pre,complaint,distributed_lag,-0.000330770776647842,0.000984112296569077,Any Complaint,Pre-COVID (<=2019)
lead_complaint_12,0.000574892083018363,0.000328242684680196,1.75142390021114,0.079875618880351,12,pre,complaint,distributed_lag,-6.84635789548206e-05,0.00121824774499155,Any Complaint,Pre-COVID (<=2019)
lag_severe_12,0.00168277874578888,0.000618496003458194,2.72075928765904,0.0065142087204439,-12,pre,severe,distributed_lag,0.000470526579010819,0.00289503091256694,Severe Complaint,Pre-COVID (<=2019)
lag_severe_11,0.00180191142136263,0.000574162222570997,3.13833155600867,0.00169956025523632,-11,pre,severe,distributed_lag,0.000676553465123477,0.00292726937760178,Severe Complaint,Pre-COVID (<=2019)
lag_severe_10,0.0020848392794405,0.000599475404893176,3.47777283675552,0.000505787350680793,-10,pre,severe,distributed_lag,0.000909867485849877,0.00325981107303113,Severe Complaint,Pre-COVID (<=2019)
lag_severe_9,0.00287007734179012,0.000590724876536893,4.85856860915671,1.18394680241008e-06,-9,pre,severe,distributed_lag,0.00171225658377781,0.00402789809980244,Severe Complaint,Pre-COVID (<=2019)
lag_severe_8,0.00279651367176903,0.000601038296193595,4.65280447099542,3.27819462188523e-06,-8,pre,severe,distributed_lag,0.00161847861122958,0.00397454873230847,Severe Complaint,Pre-COVID (<=2019)
lag_severe_7,0.00406765212756832,0.000586132377891398,6.93981817247774,3.94697432723619e-12,-7,pre,severe,distributed_lag,0.00291883266690118,0.00521647158823546,Severe Complaint,Pre-COVID (<=2019)
lag_severe_6,0.00433065279079208,0.000594880479675337,7.27987039204175,3.36290901444251e-13,-6,pre,severe,distributed_lag,0.00316468705062842,0.00549661853095574,Severe Complaint,Pre-COVID (<=2019)
lag_severe_5,0.00531045542691979,0.000596031075773355,8.90969555577187,5.19055330052001e-19,-5,pre,severe,distributed_lag,0.00414223451840401,0.00647867633543556,Severe Complaint,Pre-COVID (<=2019)
lag_severe_4,0.00759429843466442,0.000601171660224008,12.6324957364668,1.47930283911489e-36,-4,pre,severe,distributed_lag,0.00641600198062536,0.00877259488870347,Severe Complaint,Pre-COVID (<=2019)
lag_severe_3,0.0103589041606636,0.000622792375209127,16.6329977260643,4.7619995457663e-62,-3,pre,severe,distributed_lag,0.0091382311052537,0.0115795772160735,Severe Complaint,Pre-COVID (<=2019)
lag_severe_2,0.0192915309083805,0.000706655273790245,27.29977631796,1.44679613431256e-163,-2,pre,severe,distributed_lag,0.0179064865717516,0.0206765752450094,Severe Complaint,Pre-COVID (<=2019)
lag_severe_1,0.0344543265587403,0.000782011031448972,44.0586196014403,0,-1,pre,severe,distributed_lag,0.0329215849371003,0.0359870681803803,Severe Complaint,Pre-COVID (<=2019)
filed_severe,0.0568123500964561,0.000940919765634343,60.3795904512164,0,0,pre,severe,distributed_lag,0.0549681473558128,0.0586565528370994,Severe Complaint,Pre-COVID (<=2019)
lead_severe_1,0.0286019322956559,0.00076355731262219,37.4587890428707,3.20260488509942e-305,1,pre,severe,distributed_lag,0.0271053599629164,0.0300985046283954,Severe Complaint,Pre-COVID (<=2019)
lead_severe_2,0.009301372199014,0.000610052303672143,15.2468438247432,1.94784463035109e-52,2,pre,severe,distributed_lag,0.0081056696838166,0.0104970747142114,Severe Complaint,Pre-COVID (<=2019)
lead_severe_3,0.00464044169082109,0.000587712170282319,7.89577266809357,2.9108018098993e-15,3,pre,severe,distributed_lag,0.00348852583706774,0.00579235754457443,Severe Complaint,Pre-COVID (<=2019)
lead_severe_4,0.00321918756756121,0.000537565520134369,5.98845619182671,2.12475914097998e-09,4,pre,severe,distributed_lag,0.00216555914809784,0.00427281598702457,Severe Complaint,Pre-COVID (<=2019)
lead_severe_5,0.0012944052544361,0.000558145107566325,2.31911959253765,0.0203903181573403,5,pre,severe,distributed_lag,0.000200440843606102,0.0023883696652661,Severe Complaint,Pre-COVID (<=2019)
lead_severe_6,0.00156583651781093,0.000553222607023454,2.83039141555643,0.00464992504063536,6,pre,severe,distributed_lag,0.000481520208044963,0.0026501528275769,Severe Complaint,Pre-COVID (<=2019)
lead_severe_7,0.00129795983714467,0.000520633473034163,2.49303954580634,0.012666886692022,7,pre,severe,distributed_lag,0.000277518229997707,0.00231840144429163,Severe Complaint,Pre-COVID (<=2019)
lead_severe_8,0.00143947569769242,0.00054183413391719,2.65667223156602,0.00789271610500843,8,pre,severe,distributed_lag,0.000377480795214731,0.00250147060017012,Severe Complaint,Pre-COVID (<=2019)
lead_severe_9,0.00141982411996316,0.000544422759199371,2.60794409486326,0.0091099749899738,9,pre,severe,distributed_lag,0.000352755511932393,0.00248689272799393,Severe Complaint,Pre-COVID (<=2019)
lead_severe_10,0.00187433225024831,0.000553241692770295,3.38790853028954,0.000704516488200511,10,pre,severe,distributed_lag,0.00078997853241853,0.00295868596807809,Severe Complaint,Pre-COVID (<=2019)
lead_severe_11,0.00175595297212517,0.00054960597881034,3.19493062270912,0.00139902666899717,11,pre,severe,distributed_lag,0.000678725253656905,0.00283318069059344,Severe Complaint,Pre-COVID (<=2019)
lead_severe_12,0.00198463222974776,0.000534637017816373,3.71211151418887,0.000205635524612305,12,pre,severe,distributed_lag,0.000936743674827669,0.00303252078466785,Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_12,6.04951368878174e-05,0.000375428176292299,0.161136378961385,0.871986275024358,-12,pre,non_severe,distributed_lag,-0.000675344088645088,0.000796334362420723,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_11,-0.000342651353575143,0.000362117817574491,-0.946242733567388,0.344026808153296,-11,pre,non_severe,distributed_lag,-0.00105240227602114,0.000367099568870859,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_10,1.07430433507752e-05,0.000372151854848738,0.0288673647888756,0.976970424628143,-10,pre,non_severe,distributed_lag,-0.000718674592152751,0.000740160678854301,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_9,-0.000489241722143745,0.000355806987706995,-1.37501999411724,0.169127959187121,-9,pre,non_severe,distributed_lag,-0.00118662341804945,0.000208139973761964,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_8,0.000156643974701668,0.000354964924736336,0.441294234403642,0.659000839861553,-8,pre,non_severe,distributed_lag,-0.00053908727778155,0.000852375227184885,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_7,-0.000519066181050682,0.000357809565000699,-1.4506772088378,0.146872527096983,-7,pre,non_severe,distributed_lag,-0.00122037292845205,0.000182240566350689,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_6,0.000235717713459775,0.000357479010696023,0.659388961049278,0.50964736624756,-6,pre,non_severe,distributed_lag,-0.000464941147504431,0.00093637657442398,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_5,-0.000756276429828269,0.000349457710560937,-2.16414291907974,0.0304554602652324,-5,pre,non_severe,distributed_lag,-0.00144121354252771,-7.13393171288315e-05,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_4,0.000935577696437643,0.000369317022811179,2.5332644818703,0.0113018990870204,-4,pre,non_severe,distributed_lag,0.000211716331727732,0.00165943906114755,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_3,0.000586662388415167,0.000372533108428141,1.57479261612617,0.115307107392416,-3,pre,non_severe,distributed_lag,-0.000143502504103989,0.00131682728093432,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_2,0.00153911169629627,0.000384774495189607,4.00003564565224,6.33730216086131e-05,-2,pre,non_severe,distributed_lag,0.000784953685724643,0.0022932697068679,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_1,0.00320392875426537,0.000403129191038273,7.94764761642178,1.91815961014531e-15,-1,pre,non_severe,distributed_lag,0.00241379553983036,0.00399406196870039,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe,0.00445421055637751,0.000414557974240544,10.7444816724066,6.48192812431909e-27,0,pre,non_severe,distributed_lag,0.00364167692686605,0.00526674418588898,Non-Severe Complaint,Pre-COVID (<=2019)
lead_non_severe_1,0.00284370585515276,0.000396708783517357,7.16824525522094,7.64250243480103e-13,1,pre,non_severe,distributed_lag,0.00206615663945874,0.00362125507084678,Non-Severe Complaint,Pre-COVID (<=2019)
lead_non_severe_2,0.00314361141177889,0.000390098566950001,8.05850540892095,7.79752194600354e-16,2,pre,non_severe,distributed_lag,0.00237901822055689,0.0039082046030009,Non-Severe Complaint,Pre-COVID (<=2019)
lead_non_severe_3,0.00262596400384128,0.000389759153392002,6.73740175436037,1.62008941678543e-11,3,pre,non_severe,distributed_lag,0.00186203606319296,0.00338989194448961,Non-Severe Complaint,Pre-COVID (<=2019)
lead_non_severe_4,0.00170537490924429,0.00037430272598165,4.55613809590019,5.21568234955893e-06,4,pre,non_severe,distributed_lag,0.000971741566320252,0.00243900825216832,Non-Severe Complaint,Pre-COVID (<=2019)
