num_units_bin,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_female,mean_case_p_male
1,109317,0.107394092410147,0.0931511109891417,0.799454796600712,0.679956390536697,0.320043609463302
2-5,58018,0.138612154848495,0.122065565858871,0.739322279292633,0.602529065143316,0.397470934856683
21-50,25630,0.272181037846274,0.237612173234491,0.490206788919235,0.579254226142479,0.420745773857521
51+,46910,0.370859091878064,0.230185461522064,0.398955446599872,0.567463146084363,0.432536853915637
6-20,16003,0.189152033993626,0.174592263950509,0.636255702055865,0.568571754894172,0.431428245105828
