num_units_bin,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
1,117302,0.0904673407103033,0.0981483691667661,0.811384290122931,0.631721201368551,0.281001413870824
2-5,62368,0.122691123653155,0.12828694202155,0.749021934325295,0.580235777027118,0.354254940303381
21-50,27964,0.252467458160492,0.246745816049206,0.500786725790302,0.526538982925948,0.411546228606643
51+,50830,0.349045839071415,0.24534723588432,0.405606925044265,0.460373352770594,0.471594362723449
6-20,17291,0.170898155109595,0.182869701000521,0.646232143889885,0.507012778791791,0.426853874837873
