retaliatory_status,n_cases,mean_case_p_black,mean_tenant_pct_black,mean_gap_case_minus_tenant,mean_abs_gap_case_minus_tenant
non_retaliatory,105729,0.580834706751564,0.536059967592065,0.0447747391594989,0.165017054959078
plausibly_retaliatory,21707,0.528683871911151,0.477785609006876,0.0508982629042754,0.181557481221774
retaliatory,21629,0.544202424970157,0.496679698385857,0.0475227265842994,0.188781042259601
