term,estimate,std_error,stat_value,p_value,model,conf_low,conf_high,heterogeneity_dim,heterogeneity_cut,sample,n_obs,n_pid
retaliatory_status::plausibly_retaliatory,-0.00364306860946417,0.00487620338861061,-0.74711170128246,0.455004235806281,fe_full_filing_rate_eb_pre_covid_cuts__0_5_,-0.013200427251141,0.00591429003221263,filing_rate_eb_pre_covid_cuts,(0-5%],full,54875,21696
retaliatory_status::retaliatory,-0.0100045654538392,0.00555298558036193,-1.80165521935086,0.0716135479355976,fe_full_filing_rate_eb_pre_covid_cuts__0_5_,-0.0208884171913485,0.000879286283670233,filing_rate_eb_pre_covid_cuts,(0-5%],full,54875,21696
retaliatory_status::plausibly_retaliatory,0.00230891582811098,0.00373621194829352,0.617983096265605,0.536594766173081,fe_full_filing_rate_eb_pre_covid_cuts__10_20_,-0.00501405959054432,0.00963189124676627,filing_rate_eb_pre_covid_cuts,(10-20%],full,65107,16994
retaliatory_status::retaliatory,-0.00489373379536248,0.00436115244291217,-1.12211940752401,0.26182753374433,fe_full_filing_rate_eb_pre_covid_cuts__10_20_,-0.0134415925834703,0.00365412499274538,filing_rate_eb_pre_covid_cuts,(10-20%],full,65107,16994
retaliatory_status::plausibly_retaliatory,0.00269288727720661,0.00477292719199931,0.564200367799577,0.572622950247022,fe_full_filing_rate_eb_pre_covid_cuts__5_10_,-0.00666205001911204,0.0120478245735253,filing_rate_eb_pre_covid_cuts,(5-10%],full,47856,24465
retaliatory_status::retaliatory,-0.00322759724552179,0.00439589910883075,-0.73422914530454,0.462816130672304,fe_full_filing_rate_eb_pre_covid_cuts__5_10_,-0.0118435594988301,0.00538836500778648,filing_rate_eb_pre_covid_cuts,(5-10%],full,47856,24465
retaliatory_status::plausibly_retaliatory,0.000928481916253487,0.00381670343038289,0.243268027812248,0.807804630298211,fe_full_filing_rate_eb_pre_covid_cuts_20_,-0.00655225680729698,0.00840922063980395,filing_rate_eb_pre_covid_cuts,20%+,full,105841,7276
retaliatory_status::retaliatory,-0.00062550960396486,0.00449580394149167,-0.139131868761457,0.889349797169239,fe_full_filing_rate_eb_pre_covid_cuts_20_,-0.00943728532928853,0.00818626612135881,filing_rate_eb_pre_covid_cuts,20%+,full,105841,7276
retaliatory_status::plausibly_retaliatory,-0.00653679281249375,0.00572548706623311,-1.14170073862282,0.253598193484314,fe_pre_filing_rate_eb_pre_covid_cuts__0_5_,-0.0177587474623106,0.00468516183732315,filing_rate_eb_pre_covid_cuts,(0-5%],pre,37717,13841
retaliatory_status::retaliatory,-0.00803135633693226,0.00640639879123649,-1.25364601840251,0.209991880516084,fe_pre_filing_rate_eb_pre_covid_cuts__0_5_,-0.0205878979677558,0.00452518529389127,filing_rate_eb_pre_covid_cuts,(0-5%],pre,37717,13841
retaliatory_status::plausibly_retaliatory,-0.000182493795795293,0.00398407160391879,-0.0458058523887446,0.96346553286905,fe_pre_filing_rate_eb_pre_covid_cuts__10_20_,-0.00799127413947612,0.00762628654788553,filing_rate_eb_pre_covid_cuts,(10-20%],pre,57700,16986
retaliatory_status::retaliatory,-0.0110547294938896,0.00417277834461643,-2.6492491527023,0.00807455170551598,fe_pre_filing_rate_eb_pre_covid_cuts__10_20_,-0.0192333750493378,-0.00287608393844139,filing_rate_eb_pre_covid_cuts,(10-20%],pre,57700,16986
retaliatory_status::plausibly_retaliatory,0.00197669116580756,0.00497525158094601,0.397304766130381,0.691146216411058,fe_pre_filing_rate_eb_pre_covid_cuts__5_10_,-0.00777480193284661,0.0117281842644617,filing_rate_eb_pre_covid_cuts,(5-10%],pre,40593,24348
retaliatory_status::retaliatory,-0.0063016270799734,0.00457844274173262,-1.37636909216619,0.168720051369055,fe_pre_filing_rate_eb_pre_covid_cuts__5_10_,-0.0152753748537693,0.00267212069382253,filing_rate_eb_pre_covid_cuts,(5-10%],pre,40593,24348
retaliatory_status::plausibly_retaliatory,-0.00143243213193175,0.00387336239695876,-0.369816192013545,0.711530218788006,fe_pre_filing_rate_eb_pre_covid_cuts_20_,-0.00902422242997092,0.00615935816610742,filing_rate_eb_pre_covid_cuts,20%+,pre,92908,7274
retaliatory_status::retaliatory,-0.00195658973882265,0.00474389461443633,-0.412443761475745,0.680026351525023,fe_pre_filing_rate_eb_pre_covid_cuts_20_,-0.0112546231831179,0.00734144370547256,filing_rate_eb_pre_covid_cuts,20%+,pre,92908,7274
