filing_rate_longrun_pre2019_cuts,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
0,33218,0.0779697754229635,0.0952495634896743,0.826780661087362,0.659405240907638,0.268358260279337
(0-5%],30665,0.14550790803848,0.159791293005055,0.694700798956465,0.462765659636256,0.463061240140286
(5-10%],48050,0.131612903225806,0.135046826222685,0.733340270551509,0.5257785128632,0.380459425470662
(10-20%],54517,0.153181576389016,0.159895078599336,0.686923345011648,0.547042485920271,0.374857749920671
20%+,108612,0.223216587485729,0.17243950944647,0.604343903067801,0.604056079548893,0.32993733220148
missing,693,0.0721500721500722,0.0692640692640693,0.858585858585859,0.56656998174285,0.360900462206864
