block,sample,outcome,fe,group_var,group_level,ref_group_level,slope_var,slope_label,base_term,interaction_term,estimable,estimate,std_error,stat_value,p_value,conf_low,conf_high,num_units_bin,ref_num_units_bin
bldg_year_targeting,pre,same,bg,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.0632418238386664,0.0370303382745739,1.70783813449768,0.0876663809988833,-0.00933763917949851,0.135821286856831,21-50,1
bldg_year_targeting,pre,same,bg,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.10888573606917,0.0457083072393312,2.38218701688161,0.017210154719135,0.0192974538800814,0.19847401825826,51+,1
bldg_year_targeting,pre,same,bg,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0574245546282566,0.0292389706189467,1.96397319784732,0.0495332001880456,0.000116172215121016,0.114732937041392,6-20,1
bldg_year_targeting,pre,same,bg,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,0.00255981366195623,0.00991060075327744,0.25829046348272,0.796182745667885,-0.0168649638144676,0.02198459113838,1,1
bldg_year_targeting,pre,same,bg,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0358925891092927,0.0117279136658996,-3.0604411092874,0.00221011219842989,-0.0588792998944559,-0.0129058783241294,2-5,1
bldg_year_targeting,pre,same,bg,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0568920024920908,0.065517375959851,0.868349833286274,0.38520284916736,-0.0715220543892172,0.185306059373399,21-50,1
bldg_year_targeting,pre,same,bg,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.0140760807698257,0.101613449795648,-0.138525764041411,0.889824909141348,-0.213238442369296,0.185086280829644,51+,1
bldg_year_targeting,pre,same,bg,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0431932917194428,0.0371291406817464,1.16332591938164,0.244697293334502,-0.0295798240167801,0.115966407455666,6-20,1
bldg_year_targeting,pre,same,tract,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.016669105322382,0.00956231469871594,-1.74320819253317,0.0812972549372659,-0.0354112421318652,0.00207303148710125,1,1
bldg_year_targeting,pre,same,tract,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,0.0133199051434329,0.0132774807271434,1.00319521580647,0.315766680868233,-0.0127039570817682,0.0393437673686341,2-5,1
bldg_year_targeting,pre,same,tract,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.056699506547644,0.0376467640536715,1.50609243511102,0.132043446328394,-0.0170881509975521,0.13048716409284,21-50,1
bldg_year_targeting,pre,same,tract,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.123621234025354,0.0480199635941788,2.57437167320843,0.0100422331401687,0.0295021053807635,0.217740362669944,51+,1
bldg_year_targeting,pre,same,tract,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0711269427468487,0.0279198005056835,2.54754480542832,0.010848392111693,0.0164041337557092,0.125849751737988,6-20,1
bldg_year_targeting,pre,same,tract,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,0.00362561178737653,0.00874820280437345,0.414440756399016,0.678551345959565,-0.0135208657091954,0.0207720892839485,1,1
bldg_year_targeting,pre,same,tract,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0326076303189229,0.0119290229492177,-2.73347033178951,0.00626707690768925,-0.0559885152993897,-0.00922674533845611,2-5,1
bldg_year_targeting,pre,same,tract,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0675891722180075,0.0617629486910152,1.09433201701783,0.27380938809511,-0.0534662072163824,0.188644551652397,21-50,1
bldg_year_targeting,pre,same,tract,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.0261471297352505,0.106085465737474,-0.246472309410941,0.805316637261876,-0.2340746425807,0.181780383110199,51+,1
bldg_year_targeting,pre,same,tract,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0481471250759961,0.0388222392999107,1.24019443350623,0.214903486810376,-0.0279444639518289,0.124238714103821,6-20,1
