spec,outcome,term,estimate,std_error,t_value,p_value,conf_low,conf_high,n_obs
one_month_on_retaliatory_severe,one_month_back_rent,retaliatory_status::same_period_severe,0.0172670188761495,0.00649478886923055,2.65859587183089,0.0078525921687583,0.00453723269245767,0.0299968050598414,115107
one_month_on_retaliatory_severe,one_month_back_rent,retaliatory_status::within_bw_severe_not_same_period,-5.95295013996657e-05,0.00570938991043041,-0.0104265958944076,0.991681028933101,-0.0112499337258433,0.0111308747230439,115107
one_month_on_retaliatory_severe_x_high_black,one_month_back_rent,retaliatory_status::same_period_severe,-0.0108294738405033,0.012021631960131,-0.900832256087904,0.367690871214069,-0.03439187248236,0.0127329248013535,90737
one_month_on_retaliatory_severe_x_high_black,one_month_back_rent,retaliatory_status::within_bw_severe_not_same_period,-0.0186207152973859,0.00994726036072608,-1.87194409537167,0.0612322951498057,-0.038117345604409,0.000875915009637251,90737
one_month_on_retaliatory_severe_x_high_black,one_month_back_rent,high_black_split,-0.000264609926320342,0.00970262478528273,-0.027271994143452,0.978243129047887,-0.0192817545054745,0.0187525346528338,90737
one_month_on_retaliatory_severe_x_high_black,one_month_back_rent,high_black_split:retaliatory_status::same_period_severe,0.0457909207919925,0.0163290209738215,2.80426615076335,0.00504911224806913,0.0137860396833023,0.0777958019006827,90737
one_month_on_retaliatory_severe_x_high_black,one_month_back_rent,high_black_split:retaliatory_status::within_bw_severe_not_same_period,0.0320030577652946,0.0125154458258175,2.55708491816386,0.0105643499638955,0.0074727839466924,0.0565333315838969,90737
one_month_on_retaliatory_severe_x_defendant_race_grp,one_month_back_rent,retaliatory_status::same_period_severe,0.0099042010872165,0.0101200165348539,0.978674397725134,0.327752112554112,-0.00993103132109707,0.0297394334955301,114314
one_month_on_retaliatory_severe_x_defendant_race_grp,one_month_back_rent,retaliatory_status::within_bw_severe_not_same_period,0.00108310258245689,0.010080519128733,0.107445119504775,0.914436883550216,-0.0186747149098599,0.0208409200747736,114314
one_month_on_retaliatory_severe_x_defendant_race_grp,one_month_back_rent,defendant_race_black,-0.0130437291270976,0.00714935483646308,-1.82446240611419,0.0680963366504382,-0.0270564646065652,0.000969006352370051,114314
one_month_on_retaliatory_severe_x_defendant_race_grp,one_month_back_rent,defendant_race_unknown,0.0070364633867667,0.00624057110974588,1.12753516673785,0.259529108800423,-0.00519505598833522,0.0192679827618686,114314
one_month_on_retaliatory_severe_x_defendant_race_grp,one_month_back_rent,defendant_race_black:retaliatory_status::same_period_severe,0.0170015871786623,0.0102924101858031,1.65185674411942,0.0985786455794913,-0.00317153678551186,0.0371747111428364,114314
one_month_on_retaliatory_severe_x_defendant_race_grp,one_month_back_rent,defendant_race_black:retaliatory_status::within_bw_severe_not_same_period,-4.89313619505757e-05,0.0106306633484802,-0.00460285123764841,0.996327512566119,-0.0208850315249718,0.0207871688010706,114314
one_month_on_retaliatory_severe_x_defendant_race_grp,one_month_back_rent,defendant_race_unknown:retaliatory_status::same_period_severe,0.000674538337335415,0.00918999934048678,0.0733991714628008,0.941489173003044,-0.0173378603700187,0.0186869370446895,114314
one_month_on_retaliatory_severe_x_defendant_race_grp,one_month_back_rent,defendant_race_unknown:retaliatory_status::within_bw_severe_not_same_period,-0.00131215447123316,0.00926615739633034,-0.141607185709236,0.887391643378032,-0.0194738229680406,0.0168495140255743,114314
