block,sample,outcome,fe,slope_var,slope_label,building_type,ref_building_type,base_term,interaction_term,estimable,estimate,std_error,stat_value,p_value,conf_low,conf_high
bldg_year_targeting,full,bw,tract,tc_black_c,pct_black,LOWRISE_MULTI,ROW,tc_black_c,building_type::LOWRISE_MULTI:tc_black_c,TRUE,0.121575638064806,0.0309083211737029,3.93342742174697,8.37431328049669e-05,0.0609953285643479,0.182155947565263
bldg_year_targeting,full,bw,tract,tc_black_c,pct_black,MIDRISE_MULTI,ROW,tc_black_c,building_type::MIDRISE_MULTI:tc_black_c,TRUE,0.0347982132308512,0.0596108877202022,0.583755997632259,0.559384486527129,-0.0820391267007452,0.151635553162448
bldg_year_targeting,full,bw,tract,tc_black_c,pct_black,OTHER,ROW,tc_black_c,building_type::OTHER:tc_black_c,TRUE,0.143040898636772,0.145529254571364,0.982901335254406,0.325656000607904,-0.142196440323101,0.428278237596646
bldg_year_targeting,full,bw,tract,tc_black_c,pct_black,ROW,ROW,tc_black_c,,TRUE,-0.0264000280448793,0.0127122296804505,-2.0767425312869,0.0378253288750195,-0.0513159982185623,-0.0014840578711963
bldg_year_targeting,full,bw,tract,tc_black_c,pct_black,SMALL_MULTI_2_4,ROW,tc_black_c,building_type::SMALL_MULTI_2_4:tc_black_c,TRUE,0.00923867480181273,0.0213086084900905,0.43356537364273,0.664604083994665,-0.0325261978387647,0.0510035474423901
bldg_year_targeting,full,bw,tract,tc_black_c,pct_black,TWIN,ROW,tc_black_c,building_type::TWIN:tc_black_c,TRUE,-0.0190640355634761,0.0229520314082985,-0.830603410405902,0.406197707510333,-0.0640500171237411,0.0259219459967889
bldg_year_targeting,full,bw,tract,tc_female_c,pct_women,COMMERCIAL,ROW,tc_female_c,building_type::COMMERCIAL:tc_female_c,TRUE,-0.235907560078855,0.110118662482727,-2.14230317332323,0.0321690936559787,-0.451740138545,-0.0200749816127103
bldg_year_targeting,full,bw,tract,tc_female_c,pct_women,DETACHED,ROW,tc_female_c,building_type::DETACHED:tc_female_c,TRUE,-0.0385596644905221,0.0748707835370387,-0.515016174118794,0.606541717725787,-0.185306400223118,0.108187071242074
bldg_year_targeting,full,bw,tract,tc_female_c,pct_women,HIGHRISE_MULTI,ROW,tc_female_c,building_type::HIGHRISE_MULTI:tc_female_c,TRUE,0.134852867250042,0.162976113175644,0.827439461049775,0.407988021987454,-0.18458031457422,0.454286049074303
bldg_year_targeting,full,bw,tract,tc_female_c,pct_women,LOWRISE_MULTI,ROW,tc_female_c,building_type::LOWRISE_MULTI:tc_female_c,TRUE,-0.0113223344483224,0.0369841143982859,-0.306140477676198,0.759497689755605,-0.0838111986689628,0.061166529772318
bldg_year_targeting,full,bw,tract,tc_female_c,pct_women,MIDRISE_MULTI,ROW,tc_female_c,building_type::MIDRISE_MULTI:tc_female_c,TRUE,0.0601321384802281,0.0992838322602492,0.605658918590147,0.544741269120165,-0.13446417274986,0.254728449710317
bldg_year_targeting,full,bw,tract,tc_female_c,pct_women,OTHER,ROW,tc_female_c,building_type::OTHER:tc_female_c,TRUE,-0.0697485557488077,0.167542441568067,-0.416303803955675,0.677187709388618,-0.39813174122222,0.258634629724604
bldg_year_targeting,full,bw,tract,tc_female_c,pct_women,ROW,ROW,tc_female_c,,TRUE,0.0107198758904006,0.0126706069558838,0.846042808187864,0.397528863778835,-0.0141145137431316,0.0355542655239328
bldg_year_targeting,full,bw,tract,tc_female_c,pct_women,SMALL_MULTI_2_4,ROW,tc_female_c,building_type::SMALL_MULTI_2_4:tc_female_c,TRUE,-0.02236807990362,0.0186937820489851,-1.19655187190087,0.231481268942522,-0.0590078927196308,0.0142717329123908
bldg_year_targeting,full,bw,tract,tc_female_c,pct_women,TWIN,ROW,tc_female_c,building_type::TWIN:tc_female_c,TRUE,-0.0356215059075351,0.0252555188537743,-1.41044443053332,0.158408493901802,-0.0851223228609326,0.0138793110458625
bldg_year_targeting,full,same,bg,tc_black_c,pct_black,COMMERCIAL,ROW,tc_black_c,building_type::COMMERCIAL:tc_black_c,TRUE,0.189314852223787,0.0797720124723086,2.37319889967053,0.0176347647117767,0.0329617077780621,0.345667996669512
bldg_year_targeting,full,same,bg,tc_black_c,pct_black,DETACHED,ROW,tc_black_c,building_type::DETACHED:tc_black_c,TRUE,0.0150007913863545,0.0489194222058118,0.306642856966784,0.759115228978588,-0.0808812761370366,0.110882858909746
bldg_year_targeting,full,same,bg,tc_black_c,pct_black,HIGHRISE_MULTI,ROW,tc_black_c,building_type::HIGHRISE_MULTI:tc_black_c,TRUE,0.233824115065038,0.0550197880663904,4.24981853406797,2.13943768435199e-05,0.125985330454913,0.341662899675163
bldg_year_targeting,full,same,bg,tc_black_c,pct_black,LOWRISE_MULTI,ROW,tc_black_c,building_type::LOWRISE_MULTI:tc_black_c,TRUE,0.0655013948524966,0.0193933922727886,3.37751095482162,0.000731450395027707,0.0274903459978309,0.103512443707162
bldg_year_targeting,full,same,bg,tc_black_c,pct_black,MIDRISE_MULTI,ROW,tc_black_c,building_type::MIDRISE_MULTI:tc_black_c,TRUE,0.0723466851738355,0.0521778714387001,1.38653960345681,0.1655821959845,-0.0299219428460168,0.174615313193688
bldg_year_targeting,full,same,bg,tc_black_c,pct_black,OTHER,ROW,tc_black_c,building_type::OTHER:tc_black_c,TRUE,0.0648949332947382,0.0931869927161281,0.696394758573497,0.486181644605701,-0.117751572428873,0.247541439018349
bldg_year_targeting,full,same,bg,tc_black_c,pct_black,ROW,ROW,tc_black_c,,TRUE,-0.00514358604870914,0.00904728504336066,-0.568522603638288,0.569680161817129,-0.022876264733696,0.0125890926362778
bldg_year_targeting,full,same,bg,tc_black_c,pct_black,SMALL_MULTI_2_4,ROW,tc_black_c,building_type::SMALL_MULTI_2_4:tc_black_c,TRUE,0.0144441966952953,0.0136565115999604,1.0576783528919,0.290202107508667,-0.012322566040627,0.0412109594312176
bldg_year_targeting,full,same,bg,tc_black_c,pct_black,TWIN,ROW,tc_black_c,building_type::TWIN:tc_black_c,TRUE,-0.017597622336942,0.018791707056664,-0.936456825549626,0.349038031879963,-0.0544293681680034,0.0192341234941193
bldg_year_targeting,full,same,bg,tc_female_c,pct_women,COMMERCIAL,ROW,tc_female_c,building_type::COMMERCIAL:tc_female_c,TRUE,-0.0074998795307972,0.0779031182227896,-0.0962718784805098,0.923304645045257,-0.160189991247465,0.14519023218587
bldg_year_targeting,full,same,bg,tc_female_c,pct_women,DETACHED,ROW,tc_female_c,building_type::DETACHED:tc_female_c,TRUE,-0.0314516895766106,0.0621582845887633,-0.505993525797787,0.61286119462017,-0.153281927370587,0.0903785482173654
bldg_year_targeting,full,same,bg,tc_female_c,pct_women,HIGHRISE_MULTI,ROW,tc_female_c,building_type::HIGHRISE_MULTI:tc_female_c,TRUE,-0.108695580388163,0.130632645898609,-0.832070571949739,0.405369111335028,-0.364735566349437,0.14734440557311
bldg_year_targeting,full,same,bg,tc_female_c,pct_women,LOWRISE_MULTI,ROW,tc_female_c,building_type::LOWRISE_MULTI:tc_female_c,TRUE,-0.00885918723064161,0.0262744037214441,-0.337179382815493,0.735981678346466,-0.060357018524672,0.0426386440633888
bldg_year_targeting,full,same,bg,tc_female_c,pct_women,MIDRISE_MULTI,ROW,tc_female_c,building_type::MIDRISE_MULTI:tc_female_c,TRUE,-0.031708952738922,0.053188311402614,-0.596163929681806,0.551065719621732,-0.135958043088045,0.0725401376102015
bldg_year_targeting,full,same,bg,tc_female_c,pct_women,OTHER,ROW,tc_female_c,building_type::OTHER:tc_female_c,TRUE,-0.100498737502247,0.118810082697065,-0.845877178273606,0.397621265015211,-0.333366499588493,0.132369024584
bldg_year_targeting,full,same,bg,tc_female_c,pct_women,ROW,ROW,tc_female_c,,TRUE,0.00816961943898281,0.00939319365184663,0.86973821064327,0.384443485466576,-0.0102410401186366,0.0265802789966022
bldg_year_targeting,full,same,bg,tc_female_c,pct_women,SMALL_MULTI_2_4,ROW,tc_female_c,building_type::SMALL_MULTI_2_4:tc_female_c,TRUE,-0.0245101902424492,0.0136537745745297,-1.79512193559805,0.0726342745705653,-0.0512715884085275,0.00225120792362907
bldg_year_targeting,full,same,bg,tc_female_c,pct_women,TWIN,ROW,tc_female_c,building_type::TWIN:tc_female_c,TRUE,-0.0243437176515707,0.0180760125216298,-1.34674157934118,0.17806347592021,-0.0597727021939651,0.0110852668908238
bldg_year_targeting,full,same,tract,tc_black_c,pct_black,COMMERCIAL,ROW,tc_black_c,building_type::COMMERCIAL:tc_black_c,TRUE,0.166617638765987,0.0747292820303454,2.22961648016809,0.0257729148211826,0.0201482459865104,0.313087031545464
bldg_year_targeting,full,same,tract,tc_black_c,pct_black,DETACHED,ROW,tc_black_c,building_type::DETACHED:tc_black_c,TRUE,0.0105759421927093,0.0505224090302601,0.209331708358857,0.834189300367956,-0.0884479795066005,0.109599863892019
bldg_year_targeting,full,same,tract,tc_black_c,pct_black,HIGHRISE_MULTI,ROW,tc_black_c,building_type::HIGHRISE_MULTI:tc_black_c,TRUE,0.247808720965346,0.0585750279570038,4.23062061783814,2.33047438489223e-05,0.133001666169618,0.362615775761073
bldg_year_targeting,full,same,tract,tc_black_c,pct_black,LOWRISE_MULTI,ROW,tc_black_c,building_type::LOWRISE_MULTI:tc_black_c,TRUE,0.0749021601076172,0.0202527653449249,3.69836705417548,0.000216990952049203,0.0352067400315644,0.11459758018367
bldg_year_targeting,full,same,tract,tc_black_c,pct_black,MIDRISE_MULTI,ROW,tc_black_c,building_type::MIDRISE_MULTI:tc_black_c,TRUE,0.0862954104103502,0.050345173824544,1.71407513083766,0.0865149285061304,-0.0123811302857561,0.184971951106457
bldg_year_targeting,full,same,tract,tc_black_c,pct_black,OTHER,ROW,tc_black_c,building_type::OTHER:tc_black_c,TRUE,0.068393575490203,0.0993584233811149,0.688352060779606,0.491231104815253,-0.126348934336782,0.263136085317188
bldg_year_targeting,full,same,tract,tc_black_c,pct_black,ROW,ROW,tc_black_c,,TRUE,-0.00865118703279028,0.00833317301400015,-1.03816241643559,0.299194446793097,-0.0249842061402306,0.00768183207465001
bldg_year_targeting,full,same,tract,tc_black_c,pct_black,SMALL_MULTI_2_4,ROW,tc_black_c,building_type::SMALL_MULTI_2_4:tc_black_c,TRUE,0.0123923122966752,0.014497971740832,0.854761791387239,0.392683034655767,-0.0160237123153556,0.0408083369087059
bldg_year_targeting,full,same,tract,tc_black_c,pct_black,TWIN,ROW,tc_black_c,building_type::TWIN:tc_black_c,TRUE,-0.0192436431089507,0.0180745727063175,-1.06468038949682,0.287020587329485,-0.054669805613333,0.0161825193954317
bldg_year_targeting,full,same,tract,tc_female_c,pct_women,COMMERCIAL,ROW,tc_female_c,building_type::COMMERCIAL:tc_female_c,TRUE,0.0039700215258965,0.0776208581075329,0.0511463235873609,0.959208923387791,-0.148166860364868,0.156106903416661
bldg_year_targeting,full,same,tract,tc_female_c,pct_women,DETACHED,ROW,tc_female_c,building_type::DETACHED:tc_female_c,TRUE,-0.0334209975332467,0.0564191398308649,-0.592369852384088,0.553602949623522,-0.144002511601742,0.0771605165352486
bldg_year_targeting,full,same,tract,tc_female_c,pct_women,HIGHRISE_MULTI,ROW,tc_female_c,building_type::HIGHRISE_MULTI:tc_female_c,TRUE,-0.104947734627352,0.133736163535708,-0.784737141045102,0.432607701755273,-0.36707061515734,0.157175145902636
bldg_year_targeting,full,same,tract,tc_female_c,pct_women,LOWRISE_MULTI,ROW,tc_female_c,building_type::LOWRISE_MULTI:tc_female_c,TRUE,-0.0097806121399287,0.0277873259020863,-0.351981049720023,0.724852474361589,-0.0642437709080178,0.0446825466281604
bldg_year_targeting,full,same,tract,tc_female_c,pct_women,MIDRISE_MULTI,ROW,tc_female_c,building_type::MIDRISE_MULTI:tc_female_c,TRUE,-0.0309046152637055,0.0537755413630367,-0.574696497336393,0.565496576763704,-0.136304676335258,0.0744954458078465
bldg_year_targeting,full,same,tract,tc_female_c,pct_women,OTHER,ROW,tc_female_c,building_type::OTHER:tc_female_c,TRUE,-0.081872391082308,0.120025940447025,-0.682122471004037,0.495161512740833,-0.317123234358476,0.153378452193861
bldg_year_targeting,full,same,tract,tc_female_c,pct_women,ROW,ROW,tc_female_c,,TRUE,0.00794128506608055,0.00873326230160804,0.909314846139264,0.363183956182889,-0.0091759090450712,0.0250584791772323
bldg_year_targeting,full,same,tract,tc_female_c,pct_women,SMALL_MULTI_2_4,ROW,tc_female_c,building_type::SMALL_MULTI_2_4:tc_female_c,TRUE,-0.0224263656693325,0.0137855469657139,-1.62680274675421,0.103778998092092,-0.0494460377221317,0.00459330638346667
