term,estimate,std_error,stat_value,p_value,model,conf_low,conf_high,heterogeneity_dim,heterogeneity_cut,sample,n_obs,n_pid
retaliatory_status::plausibly_retaliatory,-0.0126997756222211,0.00806785073677454,-1.57412129160168,0.115474782040364,fe_full_filing_rate_eb_pre_covid_cuts__0_5_,-0.0285127630662992,0.00311321182185697,filing_rate_eb_pre_covid_cuts,(0-5%],full,50890,20587
retaliatory_status::retaliatory,-0.0144459669941564,0.00760524853499179,-1.89947336075743,0.0575162327664181,fe_full_filing_rate_eb_pre_covid_cuts__0_5_,-0.0293522541227403,0.000460320134427511,filing_rate_eb_pre_covid_cuts,(0-5%],full,50890,20587
retaliatory_status::plausibly_retaliatory,0.0195074688309714,0.00548341477367767,3.55754026206702,0.000375377672835951,fe_full_filing_rate_eb_pre_covid_cuts__10_20_,0.00875997587456321,0.0302549617873797,filing_rate_eb_pre_covid_cuts,(10-20%],full,60603,16757
retaliatory_status::retaliatory,0.0228822638552005,0.00583235657844338,3.92333074074625,8.76817287282153e-05,fe_full_filing_rate_eb_pre_covid_cuts__10_20_,0.0114508449614515,0.0343136827489495,filing_rate_eb_pre_covid_cuts,(10-20%],full,60603,16757
retaliatory_status::plausibly_retaliatory,0.0103166399385772,0.00656274505653479,1.57200071764246,0.115963917633315,fe_full_filing_rate_eb_pre_covid_cuts__5_10_,-0.00254634037223101,0.0231796202493854,filing_rate_eb_pre_covid_cuts,(5-10%],full,44468,23382
retaliatory_status::retaliatory,0.0176317716300128,0.00587450814533311,3.00140389523845,0.00269021468953676,fe_full_filing_rate_eb_pre_covid_cuts__5_10_,0.0061177356651599,0.0291458075948657,filing_rate_eb_pre_covid_cuts,(5-10%],full,44468,23382
retaliatory_status::plausibly_retaliatory,0.0079296419367105,0.00462310784770115,1.71521889558634,0.0863478553223274,fe_full_filing_rate_eb_pre_covid_cuts_20_,-0.00113164944478374,0.0169909333182047,filing_rate_eb_pre_covid_cuts,20%+,full,98041,7248
retaliatory_status::retaliatory,0.012990303118818,0.00472892797743788,2.74698688176175,0.00602941565383854,fe_full_filing_rate_eb_pre_covid_cuts_20_,0.00372160428303975,0.0222590019545962,filing_rate_eb_pre_covid_cuts,20%+,full,98041,7248
retaliatory_status::plausibly_retaliatory,-0.0214347346622459,0.0103759963631823,-2.06580013253511,0.0388667670846024,fe_pre_filing_rate_eb_pre_covid_cuts__0_5_,-0.0417716875340833,-0.00109778179040851,filing_rate_eb_pre_covid_cuts,(0-5%],pre,35215,13246
retaliatory_status::retaliatory,-0.0292386938952337,0.0085206538585927,-3.43150823639524,0.000602068610247656,fe_pre_filing_rate_eb_pre_covid_cuts__0_5_,-0.0459391754580754,-0.012538212332392,filing_rate_eb_pre_covid_cuts,(0-5%],pre,35215,13246
retaliatory_status::plausibly_retaliatory,0.0202827864209376,0.00573404436369521,3.53725662629277,0.000405402563602292,fe_pre_filing_rate_eb_pre_covid_cuts__10_20_,0.009044059468095,0.0315215133737802,filing_rate_eb_pre_covid_cuts,(10-20%],pre,53845,16713
retaliatory_status::retaliatory,0.023340495999387,0.00567483895253854,4.11297945097562,3.92454891994571e-05,fe_pre_filing_rate_eb_pre_covid_cuts__10_20_,0.0122178116524115,0.0344631803463626,filing_rate_eb_pre_covid_cuts,(10-20%],pre,53845,16713
retaliatory_status::plausibly_retaliatory,0.0104470181757461,0.00683087336334892,1.5293824991398,0.12618332097088,fe_pre_filing_rate_eb_pre_covid_cuts__5_10_,-0.00294149361641782,0.0238355299679099,filing_rate_eb_pre_covid_cuts,(5-10%],pre,37900,23138
retaliatory_status::retaliatory,0.0191017280959126,0.00653428050305252,2.92331008547753,0.00346666959732191,fe_pre_filing_rate_eb_pre_covid_cuts__5_10_,0.00629453830992964,0.0319089178818955,filing_rate_eb_pre_covid_cuts,(5-10%],pre,37900,23138
retaliatory_status::plausibly_retaliatory,0.00764794748878225,0.00487171935225058,1.56986618805312,0.116489956948718,fe_pre_filing_rate_eb_pre_covid_cuts_20_,-0.00190062244162889,0.0171965174191934,filing_rate_eb_pre_covid_cuts,20%+,pre,86416,7240
retaliatory_status::retaliatory,0.0115031851668059,0.00481028815146855,2.39137132840868,0.016810947710973,fe_pre_filing_rate_eb_pre_covid_cuts_20_,0.0020750203899275,0.0209313499436842,filing_rate_eb_pre_covid_cuts,20%+,pre,86416,7240
