high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_female,mean_case_p_male
low_or_mid_filing,103504,0.137540578141908,0.122661926109136,0.739797495748957,0.632331898645578,0.367668101354422
high_filing,151756,0.216801971585967,0.159512638709507,0.623685389704526,0.619688185425687,0.380311814574314
missing,618,0.0728155339805825,0.0711974110032362,0.855987055016181,0.58718241639698,0.412817583603021
