retaliatory_status,n_cases,mean_case_p_black,mean_case_p_white
non_retaliatory,187687,0.580135257077781,0.342596427318137
plausibly_retaliatory,42047,0.540039337814627,0.387625354848852
retaliatory,46021,0.556074332810511,0.376288467463531
