building_type,num_units_bin,high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_female,mean_case_p_male
COMMERCIAL,1,low_or_mid_filing,179,0.0893854748603352,0.139664804469274,0.770949720670391,0.587261918063315,0.412738081936685
COMMERCIAL,1,high_filing,71,0.126760563380282,0.126760563380282,0.746478873239437,0.400051643192488,0.599948356807512
COMMERCIAL,2-5,low_or_mid_filing,266,0.0864661654135338,0.101503759398496,0.81203007518797,0.435569078947368,0.564430921052632
COMMERCIAL,2-5,high_filing,155,0.103225806451613,0.129032258064516,0.767741935483871,0.641087935483871,0.358912064516129
COMMERCIAL,21-50,low_or_mid_filing,174,0.126436781609195,0.166666666666667,0.706896551724138,0.406237005108557,0.593762994891443
COMMERCIAL,21-50,missing,8,0,0,1,0.7529875,0.2470125
COMMERCIAL,51+,low_or_mid_filing,125,0.136,0.2,0.664,0.289738933333333,0.710261066666667
COMMERCIAL,51+,missing,3,0.333333333333333,0,0.666666666666667,0.996933333333333,0.00306666666666667
COMMERCIAL,6-20,low_or_mid_filing,370,0.108108108108108,0.186486486486487,0.705405405405405,0.377816689189189,0.622183310810811
COMMERCIAL,6-20,high_filing,290,0.113793103448276,0.141379310344828,0.744827586206897,0.568962988505747,0.431037011494253
COMMERCIAL,6-20,missing,1,0,0,1,0.0043,0.9957
DETACHED,1,low_or_mid_filing,666,0.136636636636637,0.103603603603604,0.75975975975976,0.636145452952953,0.363854547047047
DETACHED,1,high_filing,817,0.116279069767442,0.112607099143207,0.771113831089351,0.650039718482252,0.349960281517748
DETACHED,2-5,low_or_mid_filing,237,0.143459915611814,0.109704641350211,0.746835443037975,0.621585548523207,0.378414451476793
DETACHED,2-5,high_filing,210,0.157142857142857,0.114285714285714,0.728571428571429,0.629141984126984,0.370858015873016
DETACHED,2-5,missing,1,0,0,1,0.9966,0.0034
DETACHED,6-20,low_or_mid_filing,43,0.162790697674419,0.0232558139534884,0.813953488372093,0.44481511627907,0.55518488372093
DETACHED,6-20,missing,1,0,0,1,0.9954,0.0046
HIGHRISE_MULTI,1,low_or_mid_filing,4,0.25,0,0.75,0.62415,0.37585
HIGHRISE_MULTI,1,high_filing,297,0.245791245791246,0.255892255892256,0.498316498316498,0.628627328843996,0.371372671156005
HIGHRISE_MULTI,2-5,low_or_mid_filing,34,0.0588235294117647,0.117647058823529,0.823529411764706,0.746438235294118,0.253561764705882
HIGHRISE_MULTI,2-5,high_filing,421,0.211401425178147,0.315914489311164,0.472684085510689,0.716728760886778,0.283271239113222
HIGHRISE_MULTI,21-50,low_or_mid_filing,1322,0.245839636913767,0.191376701966717,0.562783661119516,0.676843229954614,0.323156770045386
HIGHRISE_MULTI,21-50,high_filing,1000,0.423,0.229,0.348,0.581042927142857,0.418957072857143
HIGHRISE_MULTI,51+,low_or_mid_filing,8639,0.181965505266813,0.200949183933326,0.617085310799861,0.659405759347146,0.340594240652854
HIGHRISE_MULTI,51+,high_filing,10693,0.514448704760124,0.27214065276349,0.213410642476386,0.56383215312198,0.43616784687802
HIGHRISE_MULTI,51+,missing,6,0,0,1,0.219483333333333,0.780516666666667
HIGHRISE_MULTI,6-20,low_or_mid_filing,174,0.379310344827586,0.114942528735632,0.505747126436782,0.666529214559387,0.333470785440613
