term,estimate,std_error,t_value,p_value,sample,stem,fe
log_total_area,0.00287882539315242,0.000308348713222616,9.3362653051645,8.2731229692636e-19,pre,non_severe,tract
log_market_value,-0.0036941914055489,0.000331350335234722,-11.1488989529225,3.44134337058029e-25,pre,non_severe,tract
tc_black_c,-0.00211378505272757,0.000514316939001248,-4.10988807180321,4.20006130019032e-05,pre,non_severe,bg
tc_female_c,-0.00139826115405953,0.000355666842103054,-3.93137900005417,8.8799222966907e-05,pre,non_severe,bg
tc_black_female_c,0.000358571248588712,0.00054518881436619,0.657701037035343,0.510843810250059,pre,non_severe,bg
tc_cov_c,0.0030624351670219,0.000454425428852502,6.73913688051095,2.36474267907087e-11,pre,non_severe,bg
tenant_comp_missing,0.00803797188700521,0.000275948676867779,29.1285030906548,9.26731822511404e-145,pre,non_severe,bg
total_permits,0.025142634570435,0.00193309197259162,13.0064347309493,1.68909581329591e-36,pre,non_severe,bg
total_violations,0.0580857240686248,0.001175485830756,49.4142273337888,1.36759069023315e-303,pre,non_severe,bg
cumulative_permit_count,-0.000715163946156759,9.6987382509624e-05,-7.37378334842466,2.902540898882e-13,pre,non_severe,bg
cumulative_violations_count,0.00184927954448382,5.75046579742648e-05,32.1587782560403,1.95942326671782e-168,pre,non_severe,bg
log_total_area,0.00295785856494022,0.000304187344431781,9.72380547410832,1.22495764335312e-21,pre,non_severe,bg
log_market_value,-0.00380128142194888,0.000334627148924382,-11.3597519931292,1.30744461832787e-28,pre,non_severe,bg
