term,estimate,std_error,stat_value,p_value,model,conf_low,conf_high
(Intercept),0.594824510703905,0.0043883901560292,135.54503805608,0,raw_full_case_p_black,0.586223265998088,0.603425755409722
retaliatory_statusplausibly_retaliatory,-0.0445225507024811,0.00972080302016172,-4.58013094290028,4.65941640254157e-06,raw_full_case_p_black,-0.0635753246219981,-0.0254697767829642
retaliatory_statusretaliatory,-0.0370018673655606,0.0286489973971253,-1.29155889306177,0.196516650176868,raw_full_case_p_black,-0.0931539022639263,0.019150167532805
retaliatory_severe_statusplausibly_retaliatory_severe,0.0032657640756069,0.0025672327426314,1.27209505448248,0.20334351669452,fe_full_case_p_black,-0.00176601209995064,0.00829754025116445
retaliatory_severe_statusretaliatory_severe,-0.00150588564471179,0.00277054760088472,-0.543533575900632,0.586764187226418,fe_full_case_p_black,-0.00693615894244583,0.00392438765302226
(Intercept),0.57675249956803,0.00469264028731522,122.905755450095,0,raw_pre_case_p_black,0.567554924604893,0.585950074531168
retaliatory_status::plausibly_retaliatory,-0.0405860347908965,0.0109718985641786,-3.69908950155657,0.000216559116197833,raw_pre_case_p_black,-0.0620909559766865,-0.0190811136051065
retaliatory_status::retaliatory,-0.0181780072978321,0.0217991813017909,-0.833884862287865,0.404349047813071,raw_pre_case_p_black,-0.0609044026493424,0.0245483880536781
retaliatory_severe_statusplausibly_retaliatory_severe,0.00154299586026189,0.00270276433239001,0.570895450176909,0.568072563152508,fe_pre_case_p_black,-0.00375442223122253,0.0068404139517463
retaliatory_severe_statusretaliatory_severe,-0.00325285890104724,0.00289907412314329,-1.12203371244622,0.261852406826868,fe_pre_case_p_black,-0.00893504418240808,0.00242932638031361
n_defendants_total,-0.0245894159218408,0.00176867422515542,-13.9027388832334,7.08520933883259e-44,fe_pre_case_p_black,-0.0280560174031455,-0.0211228144405362
retaliatory_severe_statusplausibly_retaliatory_severe,0.00349413396687564,0.00249137805196529,1.40249046671955,0.160773209976333,fe_full_case_p_black_tenant_aug,-0.00138896701497632,0.0083772349487276
retaliatory_severe_statusretaliatory_severe,-0.00113766176862344,0.0026252822870835,-0.433348358087351,0.664763028790436,fe_full_case_p_black_tenant_aug,-0.00628321505130709,0.00400789151406021
infousa_pct_black_c,0.269695078246499,0.00644965367980476,41.8154356242369,0,fe_full_case_p_black_tenant_aug,0.257053757034082,0.282336399458916
infousa_pct_female_c,-0.0296878981706198,0.00611813919152731,-4.85243915531262,1.22210536919085e-06,fe_full_case_p_black_tenant_aug,-0.0416794509860133,-0.0176963453552263
infousa_pct_black_female_c,0.0485265252640655,0.00788828885540941,6.15171758457962,7.70561559550697e-10,fe_full_case_p_black_tenant_aug,0.0330654791074631,0.0639875714206679
infousa_share_persons_demog_ok_c,-0.0305819043084608,0.00599209911352241,-5.10370468329644,3.33925169367738e-07,fe_full_case_p_black_tenant_aug,-0.0423264185709647,-0.0188373900459568
tenant_comp_missing,-0.00655006778427776,0.00361307919312891,-1.81287689368509,0.0698550342461694,fe_full_case_p_black_tenant_aug,-0.0136317030028104,0.000531567434254896
retaliatory_severe_statusplausibly_retaliatory_severe,0.0024061594817527,0.00263233776929755,0.914077026822738,0.360679891058064,fe_pre_case_p_black_tenant_aug,-0.00275322254607049,0.00756554150957589
retaliatory_severe_statusretaliatory_severe,-0.00166254595325102,0.00280020357076079,-0.593723245913626,0.552699376351156,fe_pre_case_p_black_tenant_aug,-0.00715094495194217,0.00382585304544013
n_defendants_total,-0.0221889637362035,0.00171605441446777,-12.9302215297673,3.40195661699419e-38,fe_pre_case_p_black_tenant_aug,-0.0255524303885603,-0.0188254970838466
infousa_pct_black_c,0.285184201043923,0.00721452009052988,39.529199096454,0,fe_pre_case_p_black_tenant_aug,0.271043741666485,0.299324660421362
infousa_pct_female_c,-0.0310095227061635,0.00649223253202842,-4.77640357969048,1.78861072131748e-06,fe_pre_case_p_black_tenant_aug,-0.0437342984689392,-0.0182847469433878
infousa_pct_black_female_c,0.0509277987040912,0.0085248035627299,5.97407298940535,2.32646499707003e-09,fe_pre_case_p_black_tenant_aug,0.0342191837211406,0.0676364136870418
infousa_share_persons_demog_ok_c,-0.0335984325566495,0.00642244675603412,-5.23140694394743,1.68764486479842e-07,fe_pre_case_p_black_tenant_aug,-0.0461864281984764,-0.0210104369148226
tenant_comp_missing,-0.00531764793580228,0.00383176545246539,-1.38778012427166,0.16520894485899,fe_pre_case_p_black_tenant_aug,-0.0128279082226344,0.00219261235102988
retaliatory_status::plausibly_retaliatory,0.00662450456217384,0.00285504298252675,2.32028190213482,0.0203345521141641,within_bldg_gap_case_p_black,0.00102862031642141,0.0122203888079263
retaliatory_status::retaliatory,-0.000704585762595817,0.00353099742707871,-0.199542983858456,0.841839830703387,within_bldg_gap_case_p_black,-0.00762534071967008,0.00621616919447845
retaliatory_status::plausibly_retaliatory,-0.0205563367928748,0.0239467059706301,-0.858420227737648,0.390660462088069,fe_full_black_case_logit,-0.0674918804953097,0.0263792069095602
retaliatory_status::retaliatory,-0.0354660202749546,0.0274025441888243,-1.29426012528497,0.195575584813799,fe_full_black_case_logit,-0.0891750068850503,0.0182429663351411
retaliatory_status::plausibly_retaliatory,-0.0370234084114134,0.026059388562467,-1.42073204529203,0.155394672730675,fe_pre_black_case_logit,-0.0880998099938488,0.014052993171022
retaliatory_status::retaliatory,-0.0675345881732577,0.0295689228885777,-2.28397187235203,0.0223731840669695,fe_pre_black_case_logit,-0.12548967703487,-0.00957949931164535
