term,estimate,std_error,t_value,p_value,sample,stem,fe,level
tc_black_c,0.0577429097971546,0.0409793143417866,1.40907457151557,0.158813118980188,pre,any,tract,parcel_longrun_pre
tc_female_c,-0.00939951129792829,0.0305994272950542,-0.307179320949171,0.758706884612216,pre,any,tract,parcel_longrun_pre
tc_black_female_c,-0.00222823268591439,0.0419187644538532,-0.0531559723895816,0.957607634932144,pre,any,tract,parcel_longrun_pre
tc_cov_c,0.0172229461144063,0.0373499707946702,0.461123415841171,0.644710062911397,pre,any,tract,parcel_longrun_pre
tenant_comp_missing,0.365995612960422,0.0278818407754786,13.1266660586595,2.31631833172257e-39,pre,any,tract,parcel_longrun_pre
cumulative_permit_count,0.00189263771626684,0.0012159351173665,1.55652854271202,0.119582460864618,pre,any,tract,parcel_longrun_pre
cumulative_violations_count,0.0555552961735026,0.0026985065083626,20.5874234512084,3.55793108258528e-94,pre,any,tract,parcel_longrun_pre
log_total_area,0.142587750080064,0.0235112869568936,6.06465100534433,1.32240482954545e-09,pre,any,tract,parcel_longrun_pre
log_market_value,-0.131434844390808,0.0203703238798744,-6.45227072313093,1.10186511765579e-10,pre,any,tract,parcel_longrun_pre
tc_black_c,0.0609887408939658,0.0385244145369371,1.58311921484206,0.113394294834393,pre,any,bg,parcel_longrun_pre
tc_female_c,0.00880809120920977,0.0296545643863653,0.297023119087178,0.766448858721515,pre,any,bg,parcel_longrun_pre
tc_black_female_c,-0.0225128295239448,0.0417578869123492,-0.539127604114638,0.589798809702015,pre,any,bg,parcel_longrun_pre
tc_cov_c,0.0359217076059187,0.0327390544550419,1.09721273884826,0.272548405741468,pre,any,bg,parcel_longrun_pre
tenant_comp_missing,0.386862972683377,0.0218167398634445,17.7323915078436,2.35787899682751e-70,pre,any,bg,parcel_longrun_pre
cumulative_permit_count,0.00107899260097929,0.00171406206743433,0.629494474837992,0.529025384793702,pre,any,bg,parcel_longrun_pre
cumulative_violations_count,0.0647996868439101,0.00227375130006589,28.4990213494468,1.20460179112081e-178,pre,any,bg,parcel_longrun_pre
log_total_area,0.150629673638457,0.0202224975203346,7.44861872214314,9.43225285220095e-14,pre,any,bg,parcel_longrun_pre
log_market_value,-0.108851571568973,0.0186390164381656,-5.83998474007922,5.22056038568687e-09,pre,any,bg,parcel_longrun_pre
tc_black_c,0.191842787628182,0.0489168612857693,3.92181310463581,8.78851508187306e-05,pre,severe,tract,parcel_longrun_pre
tc_female_c,0.0645991396882902,0.0381841325464804,1.69177968386884,0.0906879886169058,pre,severe,tract,parcel_longrun_pre
tc_black_female_c,0.00585738291249678,0.0487585771860096,0.120130308358905,0.904379923641399,pre,severe,tract,parcel_longrun_pre
tc_cov_c,-0.214189706630785,0.0383237223809252,-5.58895883082049,2.28435097670857e-08,pre,severe,tract,parcel_longrun_pre
tenant_comp_missing,0.0265347245626326,0.0286752761929982,0.925352013492089,0.35478283117874,pre,severe,tract,parcel_longrun_pre
cumulative_permit_count,-0.00529017228058705,0.00178719039217631,-2.96004964202223,0.00307589474466735,pre,severe,tract,parcel_longrun_pre
cumulative_violations_count,0.0507894656554529,0.00295005050653006,17.2164732580097,1.99797994532294e-66,pre,severe,tract,parcel_longrun_pre
log_total_area,0.12378024471089,0.0267897353832208,4.62043551159588,3.82935360005139e-06,pre,severe,tract,parcel_longrun_pre
log_market_value,0.0491007709498447,0.0239239097457961,2.05237235349764,0.040133489223576,pre,severe,tract,parcel_longrun_pre
tc_black_c,0.218908973217875,0.0444953282518369,4.91981926684264,8.66241622906988e-07,pre,severe,bg,parcel_longrun_pre
tc_female_c,0.0828770707826219,0.0360897875293494,2.29641337498104,0.0216522569487515,pre,severe,bg,parcel_longrun_pre
tc_black_female_c,-0.0249347178946544,0.0488285212610805,-0.510658878267711,0.60958993996257,pre,severe,bg,parcel_longrun_pre
tc_cov_c,-0.209188187985144,0.0390470282881941,-5.35733952507706,8.44563225144104e-08,pre,severe,bg,parcel_longrun_pre
tenant_comp_missing,0.0156695971756493,0.0261900748352064,0.59830287901985,0.549637855937662,pre,severe,bg,parcel_longrun_pre
cumulative_permit_count,-0.00740627184735785,0.00190714680298004,-3.88343038710238,0.000102993028190103,pre,severe,bg,parcel_longrun_pre
