bandwidth_periods,eviction_rows,same_period_n,within_bw_n,plausible_only_n,non_retaliatory_n,time_unit,same_period_share,within_bw_share,plausible_only_share,non_retaliatory_share,same_month_n,same_month_share
1,211624,14203,32227,18024,179397,month,0.0671143159566023,0.152284239972782,0.0851699240161796,0.847715760027218,14203,0.0671143159566023
2,211624,14203,43713,29510,167911,month,0.0671143159566023,0.206559747476657,0.139445431520054,0.793440252523343,14203,0.0671143159566023
3,211624,14203,52156,37953,159468,month,0.0671143159566023,0.246455978527955,0.179341662571353,0.753544021472045,14203,0.0671143159566023
4,211624,14203,58996,44793,152628,month,0.0671143159566023,0.278777454353003,0.211663138396401,0.721222545646997,14203,0.0671143159566023
5,211624,14203,64627,50424,146997,month,0.0671143159566023,0.305385967565115,0.238271651608513,0.694614032434885,14203,0.0671143159566023
6,211624,14203,69468,55265,142156,month,0.0671143159566023,0.328261444826674,0.261147128870072,0.671738555173326,14203,0.0671143159566023
