building_type,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
COMMERCIAL,1856,0.0673491379310345,0.156788793103448,0.775862068965517,0.422131661901451,0.470291205944202
DETACHED,2101,0.103284150404569,0.116135173726797,0.780580675868634,0.513970782075286,0.419697887826485
HIGHRISE_MULTI,25129,0.338811731465637,0.250666560547575,0.410521707986788,0.555502926378385,0.374883237046083
LOWRISE_MULTI,70823,0.27078773844655,0.23075836945625,0.4984538920972,0.490194366789466,0.449760087825364
MIDRISE_MULTI,8116,0.250616067028093,0.214021685559389,0.535362247412519,0.400693487559529,0.510417052331093
OTHER,4768,0.0509647651006711,0.0641778523489933,0.884857382550336,0.404123124040509,0.50430175724755
ROW,108767,0.0906616896669026,0.0972905384905348,0.812047771842563,0.644065103316355,0.265924757814369
SMALL_MULTI_2_4,34565,0.106784319398235,0.113843483292348,0.779372197309417,0.564112247039181,0.369490730895132
TWIN,19630,0.109933774834437,0.117677024961793,0.77238920020377,0.606822360520685,0.338551420495346
