term,estimate,std_error,stat_value,p_value,model,conf_low,conf_high
(Intercept),0.63420654924901,0.00304053538791899,208.583840783079,0,raw_full_case_p_female,0.628247099888689,0.640165998609331
retaliatory_status::plausibly_retaliatory,-0.0299578362652446,0.0044144306692705,-6.78634200187705,1.15944661560644e-11,raw_full_case_p_female,-0.0386101203770148,-0.0213055521534744
retaliatory_status::retaliatory,-0.0279659911417081,0.00498108636001332,-5.61443611301557,1.97965758786662e-08,raw_full_case_p_female,-0.0377289204073342,-0.018203061876082
retaliatory_status::plausibly_retaliatory,0.00379930842398488,0.00311724419833382,1.21880359133096,0.22292294718185,fe_full_case_p_female,-0.00231049020474942,0.00990910705271917
retaliatory_status::retaliatory,0.0086121280243791,0.00318042704494288,2.70785271999024,0.00677368778158335,fe_full_case_p_female,0.00237849101629106,0.0148457650324671
(Intercept),0.637526860958489,0.0033575611881833,189.877957608701,0,raw_pre_case_p_female,0.63094604102965,0.644107680887328
retaliatory_status::plausibly_retaliatory,-0.0304805471311993,0.00493154720764955,-6.18072703104606,6.42127172968954e-10,raw_pre_case_p_female,-0.0401463796581924,-0.0208147146042062
retaliatory_status::retaliatory,-0.0281839529904835,0.00528229544363117,-5.3355502908238,9.55966909843537e-08,raw_pre_case_p_female,-0.0385372520600006,-0.0178306539209664
retaliatory_status::plausibly_retaliatory,0.00250079594462488,0.00338248344186076,0.739337231832581,0.459705113799736,fe_pre_case_p_female,-0.00412887160142222,0.00913046349067197
retaliatory_status::retaliatory,0.00582846528984915,0.00328873229314803,1.77225288357845,0.0763576182690777,fe_pre_case_p_female,-0.000617450004720984,0.0122743805844193
retaliatory_status::plausibly_retaliatory,0.00494212936018536,0.00297757151489408,1.65978527651289,0.0969622361789942,fe_full_case_p_female_tenant_aug,-0.000893910809007025,0.0107781695293778
retaliatory_status::retaliatory,0.0107933176116964,0.00306868645164272,3.51724354435708,0.000436335658995744,fe_full_case_p_female_tenant_aug,0.00477869216647664,0.0168079430569161
infousa_pct_black_c,0.0103562008828996,0.00827477460423093,1.25153872802825,0.210742268968061,fe_full_case_p_female_tenant_aug,-0.005862357341393,0.0265747591071922
infousa_pct_female_c,0.197175581178173,0.00748801647027321,26.3321511058293,4.72341753876902e-152,fe_full_case_p_female_tenant_aug,0.182499068896437,0.211852093459908
infousa_pct_black_female_c,0.0455970656027532,0.00996352032294923,4.57640112378035,4.73872388570634e-06,fe_full_case_p_female_tenant_aug,0.0260685657697727,0.0651255654357337
infousa_share_persons_demog_ok_c,0.0070191410037762,0.00745679753766321,0.94130770861399,0.346550514465033,fe_full_case_p_female_tenant_aug,-0.00759618217004369,0.0216344641775961
tenant_comp_missing,-0.0332993086440397,0.0037219269006859,-8.94679275885377,3.74833588288651e-19,fe_full_case_p_female_tenant_aug,-0.0405942853693841,-0.0260043319186953
retaliatory_status::plausibly_retaliatory,0.00386931641215822,0.00321048453811911,1.20521259835286,0.228125952193098,fe_pre_case_p_female_tenant_aug,-0.00242323328255524,0.0101618661068717
retaliatory_status::retaliatory,0.00868384765078165,0.00318457993365184,2.72684241931515,0.0063961981265743,fe_pre_case_p_female_tenant_aug,0.00244207098082405,0.0149256243207393
infousa_pct_black_c,0.00693106820723688,0.00900691017037741,0.769527848743545,0.441583021913904,fe_pre_case_p_female_tenant_aug,-0.0107224757267028,0.0245846121411766
infousa_pct_female_c,0.199845476727144,0.00793468957716392,25.186300583491,2.96427396417658e-139,fe_pre_case_p_female_tenant_aug,0.184293485155902,0.215397468298385
infousa_pct_black_female_c,0.0521842821162223,0.0106691834421195,4.89112239932166,1.0051937682005e-06,fe_pre_case_p_female_tenant_aug,0.0312726825696681,0.0730958816627765
infousa_share_persons_demog_ok_c,0.00886510298661307,0.00819618822027127,1.08161290936284,0.279428875315741,fe_pre_case_p_female_tenant_aug,-0.00719942592511862,0.0249296318983448
tenant_comp_missing,-0.0335664813344577,0.00397591407566339,-8.44245642528303,3.17507062036186e-17,fe_pre_case_p_female_tenant_aug,-0.0413592729227579,-0.0257736897461574
retaliatory_status::plausibly_retaliatory,0.0158750160065549,0.00532193886013426,2.98293844100164,0.00285836989250682,within_bldg_gap_case_p_female,0.00544401584069179,0.0263060161724181
retaliatory_status::retaliatory,0.0188375109047709,0.00542471972250425,3.472531645575,0.0005166548773245,within_bldg_gap_case_p_female,0.00820506024866253,0.0294699615608792
retaliatory_status::plausibly_retaliatory,0.0271007869545815,0.0153903946931819,1.76088966494066,0.0782570795177369,fe_full_female_case_logit,-0.00306438664405499,0.0572659605532179
retaliatory_status::retaliatory,0.0505997442772087,0.0157330151736927,3.21615047837854,0.00129922687775143,fe_full_female_case_logit,0.019763034536771,0.0814364540176464
retaliatory_status::plausibly_retaliatory,0.0283256457910268,0.0168796734448236,1.678092048618,0.0933291307643313,fe_pre_female_case_logit,-0.00475851416082732,0.061409805742881
retaliatory_status::retaliatory,0.0434172616549829,0.0166619839959221,2.60576781646226,0.00916685778143521,fe_pre_female_case_logit,0.0107597730229756,0.0760747502869901
