sample,stem,term,baseline,tenant_augmented,estimate_delta
full,complaint,filed_complaint,0.0265378525349549,0.026221758982536,-0.000316093552418895
full,non_severe,filed_non_severe,0.00455871161966415,0.00465712268024515,9.8411060580993e-05
full,severe,filed_severe,0.0468510129865105,0.0454163454742974,-0.0014346675122131
pre,complaint,filed_complaint,0.0329293376816905,0.0323953278251193,-0.000534009856571198
pre,non_severe,filed_non_severe,0.00495675707003296,0.00487000382307375,-8.67532469592085e-05
pre,severe,filed_severe,0.0602724173591165,0.0581237808115485,-0.002148636547568
