term,estimate,std_error,conf_low,conf_high,timing
total_severe_complaints_lead_3,-0.0301174968636924,0.0045432537015863,-0.0390222741188016,-0.0212127196085833,-3
total_severe_complaints_lead_2,-0.0276695233503771,0.00483573379976282,-0.0371475615979122,-0.018191485102842,-2
total_severe_complaints_lead_1,0.000216105523640001,0.00529504234905163,-0.0101621774805012,0.0105943885277812,-1
total_severe_complaints,0.112509758242781,0.00563496130985706,0.101465234075461,0.123554282410101,0
total_severe_complaints_lag_1,0.0726812608175594,0.00588729415173391,0.0611421642801609,0.0842203573549578,1
total_severe_complaints_lag_2,0.023556150480695,0.00628241306430685,0.0112426208746536,0.0358696800867365,2
total_severe_complaints_lag_3,0.0383373818077082,0.00641646555459902,0.0257611093206941,0.0509136542947222,3
