model,description,r2,adj_r2,n,delta_r2,between_nhood_share_raw
M0,Intercept only,,,188435,,0.118475723219389
M1,Zip FE + building chars + rental share,0.146710103113399,0.146266075385591,188426,,0.118475723219389
M2,Tract FE + building chars + rental share,0.208145611449583,0.206326021473818,188432,0.0614355083361835,0.118475723219389
M3,Tract FE + building + pct_black + rental share,0.21901351085878,0.217075257005406,174904,0.0108678994091969,0.118475723219389
M4,Tract FE + building + pct_black + rental share + landlord (entity portfolio),0.230023195098191,0.228063595986788,174904,0.0110096842394118,0.118475723219389
M5,Tract FE + building + pct_black + rental share + landlord (conglomerate portfolio),0.231161066030284,0.229204362812436,174904,0.012147555171504,0.118475723219389
