model,term,estimate,std_error,z_stat,p_value
M4_entity_portfolio,num_units_bin2-5,-0.468871215081117,0.0378992491225393,-12.3715172710974,3.72713589043407e-35
M4_entity_portfolio,num_units_bin21-50,-0.825917629236163,0.100218052101546,-8.24120616911715,1.70483166780967e-16
M4_entity_portfolio,num_units_bin51+,-0.79706988795274,0.108031648470325,-7.37811464731728,1.60546696294637e-13
M4_entity_portfolio,num_units_bin6-20,-0.85230945500419,0.0994580244777939,-8.5695393557157,1.03899809164167e-17
M4_entity_portfolio,rental_share,1.34345298621405,0.0560051348473477,23.9880323451748,3.70759029642265e-127
M4_entity_portfolio,pct_black_mean,0.623570871308067,0.0734680791095931,8.48764359794789,2.10869099787883e-17
M4_entity_portfolio,owner_typeFor-profit corp,0.424466507504867,0.0440246355222593,9.64156778288948,5.3366600488543e-22
M4_entity_portfolio,owner_typeNonprofit,0.507924858473827,0.145948493155393,3.4801651424591,0.000501104799926193
M4_entity_portfolio,owner_typePHA,-2.13603993301984,0.260373656161398,-8.20374827665272,2.33005726820749e-16
M4_entity_portfolio,owner_typeReligious,-0.235597688805101,0.387082988869158,-0.608649038009617,0.542757093026731
M4_entity_portfolio,owner_typeTrust,0.460840757937976,0.235249231900868,1.95894691861171,0.050119003530011
M4_entity_portfolio,owner_typeGovernment-Local,0.207210755478885,0.38524061716518,0.537873594439911,0.590664319408447
M4_entity_portfolio,owner_typeGovernment-Federal,-2.36626872310767,1.15812647013276,-2.04318680570043,0.041033949370435
M4_entity_portfolio,owner_typeFinancial-Intermediary,0.294828219564406,0.075380545504305,3.91119774461659,9.18395389844458e-05
M4_entity_portfolio,portfolio_bin_entity_yr2-4,0.0351133859609935,0.0512628694433771,0.684967235393998,0.493364596613115
M4_entity_portfolio,portfolio_bin_entity_yr5-19,-0.0567947701210478,0.047576382636713,-1.19375973904374,0.232571964758149
M4_entity_portfolio,portfolio_bin_entity_yr20+,0.0434092490661357,0.0597293784378832,0.72676545782709,0.467369646694994
M5_conglomerate_portfolio,num_units_bin2-5,-0.465204099709987,0.03779924641479,-12.3072321232299,8.2814832450337e-35
M5_conglomerate_portfolio,num_units_bin21-50,-0.813286021399875,0.099827029236443,-8.14695205918214,3.73211553195879e-16
M5_conglomerate_portfolio,num_units_bin51+,-0.781430262018195,0.107232077576955,-7.28728081816193,3.16273243546235e-13
M5_conglomerate_portfolio,num_units_bin6-20,-0.846939007371736,0.0991196393112982,-8.54461349190157,1.2896716842279e-17
M5_conglomerate_portfolio,rental_share,1.33419705939234,0.0559861954833581,23.8308220066307,1.60091216070836e-125
M5_conglomerate_portfolio,pct_black_mean,0.621488418421432,0.0733304897293202,8.47517070614815,2.34735076928163e-17
M5_conglomerate_portfolio,owner_typeFor-profit corp,0.403181912023806,0.039082039405802,10.3162966455622,5.94730282880055e-25
M5_conglomerate_portfolio,owner_typeNonprofit,0.462820658108756,0.142251066165754,3.25354790360213,0.00113973507065484
M5_conglomerate_portfolio,owner_typePHA,-2.21769767676804,0.256767271803056,-8.63699513257686,5.77108419979235e-18
M5_conglomerate_portfolio,owner_typeReligious,-0.244144247820388,0.385696309791645,-0.632996068726392,0.526736210218703
M5_conglomerate_portfolio,owner_typeTrust,0.453465242428016,0.236444888250861,1.91784751949005,0.0551303483282094
M5_conglomerate_portfolio,owner_typeGovernment-Local,0.133049163987606,0.388067949169609,0.34285017423445,0.731711177453068
M5_conglomerate_portfolio,owner_typeGovernment-Federal,-2.44933294597192,1.16193273654985,-2.1079817005972,0.0350325723416211
M5_conglomerate_portfolio,owner_typeFinancial-Intermediary,0.266638253940097,0.0752827872764055,3.5418222888204,0.000397373091057612
M5_conglomerate_portfolio,portfolio_bin_conglomerate_yr2-4,0.0470281483139166,0.0428964813892719,1.09631715214941,0.272940005782034
M5_conglomerate_portfolio,portfolio_bin_conglomerate_yr5-19,-0.0123955125459032,0.0389003361083345,-0.318647954901536,0.749993484723921
M5_conglomerate_portfolio,portfolio_bin_conglomerate_yr20+,0.129648561975503,0.0570004570398456,2.27451793737151,0.0229348638661119
