market_id,market_group,hhi_units_start,total_units_start,hhi_units_end,total_units_end,total_units_plot,log_hhi_units_start,log_hhi_units_end
42101000100,All tracts,72.2387873017728,3118,98.6964266390004,3815,3815,4.27997712189381,4.5920487415186
42101000200,All tracts,261.138152555209,1511,241.440066331241,1596,1596,5.56504958741711,5.48662126975128
42101000300,All tracts,410.828265210223,1993,406.861730381665,2024,2024,6.01817528097035,6.00847339892972
42101000401,All tracts,223.289241588537,2036,228.96660054193,2154,2154,5.40846797850291,5.43357614375534
42101000402,All tracts,525.516302543331,3256,470.134723794109,3723,3723,6.26438121275366,6.15301929999933
42101000500,All tracts,365.712060316038,2104,378.823793120328,2492,2492,5.90184630332645,5.93707117116703
42101000600,All tracts,659.155093603517,642,1009.49161709032,860,860,6.49095885370733,6.91720213369694
42101000700,All tracts,369.409217247914,2744,418.81435138866,3372,3372,5.91190501939731,6.03742774629048
42101000801,All tracts,249.839752928151,1048,246.195727903167,1207,1207,5.52081972405403,5.50612686145994
42101000803,All tracts,299.92974544979,2424,294.717737045262,2445,2445,5.70354826539732,5.68601807471655
42101000804,All tracts,376.599886101881,3430,374.516630611144,3440,3440,5.93118331378509,5.92563620947768
42101000901,All tracts,265.753413748436,1736,259.005649012204,1790,1790,5.58256886285333,5.55684987231961
42101000902,All tracts,690.766977507248,1163,690.796550859883,1163,1163,6.53780254186883,6.53784535329521
42101001001,All tracts,644.831436683559,1577,632.959877429855,1593,1593,6.46898894416582,6.45040703534832
42101001002,All tracts,221.075225373097,1990,164.5712195632,2733,2733,5.39850302990308,5.10334342218444
42101001101,All tracts,210.7386019952,1746,213.158827568412,1833,1833,5.35061851235987,5.36203755717144
42101001102,All tracts,91.6926512438557,1355,92.393877601314,1381,1381,4.51844223694376,4.52606071672633
42101001201,All tracts,79.9610202207605,1155,78.6998472858533,1176,1176,4.38153926868988,4.36564121496218
42101001202,All tracts,119.959677419355,2480,120.902837218305,2494,2494,4.7871556648088,4.79498722482517
42101001300,All tracts,73.7447807391096,2093,85.5516550246288,3844,3844,4.30061022307645,4.449120345851
42101001400,All tracts,80.4767776023667,1463,74.0203972295366,1609,1609,4.38796866581779,4.30434069345991
42101001500,All tracts,131.12426035503,1300,132.298353227327,1526,1526,4.87614542593815,4.88505962378212
42101001600,All tracts,61.1247059671253,1027,67.0393896886575,1069,1069,4.11291613742969,4.20528035244291
42101001700,All tracts,57.852998176998,834,57.5298614156904,838,838,4.05790527903826,4.05230414196721
42101001800,All tracts,164.839510614771,803,156.029689730386,829,829,5.10497233761624,5.05004630792574
42101001900,All tracts,78.9355875677595,1043,252.961614743993,1359,1359,4.36863217264712,5.53323775683735
42101002000,All tracts,77.4287801314829,555,61.0264582851003,667,667,4.34935854780576,4.11130751251297
42101002100,All tracts,42.3705736910324,606,39.3975467108327,695,695,3.74645410457589,3.67370354814275
42101002200,All tracts,871.658478010834,889,755.793428375923,958,958,6.77039769353535,6.6277680959529
42101002300,All tracts,35.890004294745,631,83.583249493595,721,721,3.58045882482362,4.42584313510578
42101002400,All tracts,50.4823946649298,1403,60.6479889152032,1595,1595,3.92162465500262,4.10508647598132
42101002500,All tracts,381.584640346133,860,311.935763888889,960,960,5.94433268809878,5.74279728164075
42101002701,All tracts,30.2705107509911,999,29.2556759738227,1036,1036,3.41017399606574,3.37607360523963
42101002702,All tracts,53.6020805856023,821,49.7351093030858,878,878,3.98158788421897,3.90671110831154
42101002801,All tracts,25.1399691782422,878,24.7367841674456,889,889,3.22445897715666,3.20829137336783
42101002802,All tracts,21.0556930052072,1002,23.1527267758466,1023,1023,3.04717097511675,3.14211256088945
42101002900,All tracts,48.2438066386745,1038,50.6160594238356,1065,1065,3.87626745972595,3.92426890585677
42101003001,All tracts,20.5940901835832,818,20.5660764561978,823,823,3.02500415034429,3.02364294440185
42101003002,All tracts,57.3881172839507,864,53.4807099585505,970,970,4.04983726593571,3.97932102736161
42101003100,All tracts,27.851604176193,1296,24.6559096158056,1432,1432,3.32689056529588,3.20501661276173
42101003200,All tracts,30.8185946094488,1407,30.2947428899742,1475,1475,3.42811822889927,3.41097419548107
42101003300,All tracts,29.6244274053784,1706,102.5534975566,1849,1849,3.38859927118001,4.6303845898032
42101003600,All tracts,2710.64034016302,1218,2572.7653645541,1252,1252,7.90494017384519,7.85273661673378
42101003701,All tracts,11.6309953101689,1498,12.4960525526243,1511,1511,2.4536735441386,2.52541279864421
42101003702,All tracts,45.4346238130022,740,46.0223537146614,741,741,3.81627445343882,3.8291272287722
42101003800,All tracts,265.576397398435,412,265.694221887077,412,412,5.5819025484368,5.58234610577385
42101003901,All tracts,16.4706225312286,1386,17.0224196198222,1386,1386,2.80157834136403,2.83453127636779
42101003902,All tracts,26.378772112383,620,27.003121748179,620,620,3.27255960004904,3.29595247962374
