group_var,group_val,n_pids,mean_filing_rate,median_filing_rate,mean_units_owned,mean_bldg_pct_black_unit_wtd,mean_case_pct_black_case_wtd
owner_type,Person,140388,0.0401950170367726,0.00543408634244494,3.89116037141214,0.327003536592942,0.541638533506763
owner_type,For-profit corp,40023,0.0640189517493413,0.00543408634244494,25.6280027872867,0.335241663435456,0.560156861247254
owner_type,Nonprofit,1110,0.169556224119802,0.130884849418595,110.257257257257,0.538508801888197,0.768389357649237
owner_type,PHA,5471,0.0106197588569343,0.00543408634244494,9593.49657791588,0.739013707813822,0.791397025107392
owner_type,Religious,425,0.0349291114406611,0.00543408634244494,14.8206535947712,0.469097358520147,0.809537983194599
owner_type,Trust,810,0.0606542955769234,0.00543408634244494,6.1349794238683,0.30353240700717,0.446606669305569
owner_type,Government-Local,372,0.0339780521116571,0.00543408634244494,383.682497013142,0.170096654151437,0.453457999257333
owner_type,Government-Federal,6,0.00655873167072427,0.003606244427222,29.3333333333333,0.414456607521385,0.0271071833493491
owner_type,Financial-Intermediary,949,0.0545809156854577,0.00543408634244494,46.4127151387425,0.477370047434581,0.635337983110072
portfolio_bin,1,139913,0.0412026391838601,0.00543408634244494,2.98467222091233,0.312429449482697,0.520866633941056
portfolio_bin,2-4,21451,0.050564688746329,0.00543408634244494,6.6561413868301,0.344576187174558,0.598769599217508
portfolio_bin,5-19,13730,0.0676797253942803,0.00543408634244494,16.1272719915839,0.4364387448261,0.610000539583291
portfolio_bin,20+,8611,0.0855919215418024,0.00800528287258116,112.400224519026,0.527204808915208,0.741962072374189
portfolio_bin_conglomerate,1,123689,0.0390866058934654,0.00543408634244494,3.61673498317069,0.312313286557342,0.524499158928633
portfolio_bin_conglomerate,2-4,28771,0.048094339186058,0.00543408634244494,6.10082297375096,0.331424538844606,0.551529453932012
portfolio_bin_conglomerate,5-19,17762,0.0639833891598985,0.00543408634244494,17.3425852944488,0.390745095898397,0.574998304180118
portfolio_bin_conglomerate,20+,13483,0.0860871082304122,0.00731321734822553,183.361302710407,0.439257653627174,0.668644901926712
num_units_bin,2-5,42669,0.0459666151660788,0.00543408634244494,,,
num_units_bin,1,141790,0.0445642790228815,0.00543408634244494,,,
num_units_bin,6-20,3626,0.0452908525548761,0.00189811395084252,,,
num_units_bin,51+,565,0.0807051201950374,0.00813551083494365,,,
num_units_bin,21-50,1198,0.0800337510117168,0.00794182956989448,,,
building_type,ROW,126549,0.0441633289296269,0.00543408634244494,,,
building_type,SMALL_MULTI_2_4,24257,0.0516722568418327,0.00543408634244494,,,
building_type,TWIN,18015,0.043299587582332,0.00543408634244494,,,
building_type,OTHER,9961,0.0154974050984213,0.00543408634244494,,,
building_type,LOWRISE_MULTI,4192,0.128331457540033,0.0237140932846861,,,
building_type,DETACHED,3479,0.031196881757861,0.00543408634244494,,,
building_type,COMMERCIAL,1597,0.0338039858636287,0.00543408634244494,,,
building_type,MIDRISE_MULTI,1253,0.0384227574513185,0.00481542471530686,,,
building_type,"",294,0.00543408634244493,0.00543408634244494,,,
building_type,HIGHRISE_MULTI,251,0.134662532257031,0.0240118726356595,,,
