model,term,estimate,std_error,t_stat,p_value
M1,num_units_bin2-5,0.00145821826286856,0.00221948095605111,0.657008684347087,0.511569928658528
M1,num_units_bin21-50,0.0357300127215843,0.00900768279724037,3.96661533558116,8.70163814380454e-05
M1,num_units_bin51+,0.0304941300609509,0.0107226531277681,2.84389783923731,0.00469554061663379
M1,num_units_bin6-20,0.00348246901684112,0.0061188507129971,0.569137764620401,0.569596257860337
M1,rental_share,0.0515656130899121,0.00368386766183404,13.9976833652705,3.03441822436564e-36
M2,num_units_bin2-5,0.00140999358215252,0.00187888887432626,0.750440114590662,0.453451655125851
M2,num_units_bin21-50,0.0261719916674516,0.00889478934554344,2.94239589615066,0.00345547955490901
M2,num_units_bin51+,0.0214631279992568,0.0100195724712907,2.14212014142874,0.0328155427948791
M2,num_units_bin6-20,-0.000749836527308093,0.00624298761294128,-0.120108604052607,0.904460261057831
M2,rental_share,0.0518451798246008,0.003599738576692,14.4024847138328,7.18902079803147e-38
M3,num_units_bin2-5,0.00182051629291144,0.00188472246180727,0.965933356132308,0.334688640635367
M3,num_units_bin21-50,0.0256431873135793,0.00886211554496066,2.89357402117839,0.00402718334774983
M3,num_units_bin51+,0.0209329502964838,0.0100175130891974,2.08963543247648,0.0373115506122424
M3,num_units_bin6-20,-0.000715885096696338,0.006230346223536,-0.114902939742254,0.908582426647581
M3,rental_share,0.0506736795519082,0.00355286144014804,14.2627795667136,2.66000226834358e-37
M3,pct_black_mean,0.0313985704727566,0.00500372752551225,6.27503602317797,9.48731174033016e-10
M4,num_units_bin2-5,0.000133227454051371,0.00185557596465788,0.0717984370291919,0.942799891964283
M4,num_units_bin21-50,0.0226446435643386,0.00922313492943364,2.45520029118008,0.0145254884073918
M4,num_units_bin51+,0.0177480703945252,0.00997730989547683,1.77884325338749,0.0760606095806783
M4,num_units_bin6-20,-0.00417290833000017,0.00618007652388776,-0.675219524203412,0.499944799554962
M4,rental_share,0.0539177545081559,0.00358307203424505,15.0479125155284,1.62901303996182e-40
M4,pct_black_mean,0.0354435929433414,0.00485305191677054,7.30336158590434,1.64732262987082e-12
M4,owner_typeFor-profit corp,0.023291149973234,0.00569718865071115,4.08818303222708,5.3029013294109e-05
M4,owner_typeNonprofit,0.0152407913861528,0.0149321321860952,1.02067080549589,0.308056387614714
M4,owner_typePHA,-0.0803096011358157,0.00972368022727725,-8.25917751907637,2.42856466562519e-15
M4,owner_typeReligious,-0.0221898235660375,0.0230638526489292,-0.962103942641505,0.336606000589018
M4,owner_typeTrust,0.0215571405686241,0.0141330069947098,1.52530459913401,0.128010611560761
M4,owner_typeGovernment-Local,-0.0074670435858008,0.0148178221171672,-0.503923149215689,0.614605877235338
M4,owner_typeGovernment-Federal,-0.0853364319552622,0.04370207727357,-1.95268594261701,0.0515867790095314
M4,owner_typeFinancial-Intermediary,0.0139943381708506,0.0136919755606606,1.02208319820981,0.307388355294395
M4,portfolio_bin_entity_yr2-4,0.00558756330190905,0.00732521602362544,0.762784781211629,0.44606252554395
M4,portfolio_bin_entity_yr5-19,-0.00246692945932005,0.00465907753636634,-0.529488818347512,0.59677396975526
M4,portfolio_bin_entity_yr20+,0.00386162978688825,0.00641404516089326,0.602058403085902,0.54749243516891
M5,num_units_bin2-5,0.000995402287642085,0.00184411561312887,0.539772170766022,0.589668662914815
M5,num_units_bin21-50,0.0232267700267706,0.00906853818962176,2.56124741839339,0.0108129465838209
M5,num_units_bin51+,0.0193760014176307,0.0101155233576358,1.9154719664608,0.0561786622272222
M5,num_units_bin6-20,-0.00373414369896141,0.0061607962648604,-0.606113810362469,0.544799169255029
M5,rental_share,0.0528228160414804,0.00350412420440754,15.0744702413913,1.26607244414581e-40
M5,pct_black_mean,0.0349062135802585,0.00480616120515602,7.26280540544734,2.14514931639786e-12
M5,owner_typeFor-profit corp,0.0205399644215675,0.00486598249463987,4.22113405549514,3.04068680521225e-05
M5,owner_typeNonprofit,0.00675127240618236,0.015024666484872,0.449345908142459,0.653436979108867
M5,owner_typePHA,-0.0982736068822523,0.0126626921822295,-7.76087781871277,7.79299497942105e-14
M5,owner_typeReligious,-0.0217422359125987,0.0230307347935803,-0.944053071144708,0.34573922929634
M5,owner_typeTrust,0.0212858836509004,0.0140347464695861,1.51665608616642,0.130180605979696
M5,owner_typeGovernment-Local,-0.0226542719947172,0.0142598994773243,-1.58866982412754,0.112962243029873
M5,owner_typeGovernment-Federal,-0.103376665511256,0.045746253266761,-2.25978431301103,0.0243972984452184
M5,owner_typeFinancial-Intermediary,0.00937384725934386,0.0144080900912523,0.650596102604543,0.515698357137303
M5,portfolio_bin_conglomerate_yr2-4,-0.000970434091739423,0.00539770023204823,-0.17978658503071,0.857415444573929
M5,portfolio_bin_conglomerate_yr5-19,-0.00190727340640513,0.00421495836207696,-0.452501126361141,0.651164874607679
M5,portfolio_bin_conglomerate_yr20+,0.0217976714961423,0.0101894600241421,2.13923715726806,0.0330498318978008
