year,market_group,n_markets,total_units,weighted_mean_hhi,weighted_mean_hhi_parcels,weighted_mean_top1,weighted_mean_top3,weighted_mean_corp_share,weighted_mean_log_rent,median_n_owners
2011,All tracts,384,346775,374.931024271583,141.042947352819,11.2081320741115,20.578184701896,37.9756326148079,6.86257532392332,399.5
2012,All tracts,384,349229,372.820913495606,140.86339398938,11.187501610691,20.5678795289051,38.2239161123504,6.88441867646489,399
2013,All tracts,384,353365,374.899011562173,140.605106470535,11.1524910503304,20.5855135624637,38.7200203755324,6.91708770574153,402
2014,All tracts,384,356503,377.665768682724,139.956827202502,11.2100038428849,20.6275964017133,39.3747037191833,6.945855617167,400
2015,All tracts,384,360868,377.641519149475,139.206789804084,11.1625303435051,20.5534987862598,39.8752452420276,6.99248482931774,405
2016,All tracts,384,364006,373.681681630343,138.102644409261,11.0943226210557,20.5221891946836,40.4817503008192,7.03800354208885,403.5
2017,All tracts,384,367432,371.266293091287,137.191930164017,11.0488471336193,20.4432384767794,41.1730605935248,7.07207684281695,408.5
2018,All tracts,384,371457,374.183461201086,137.340902319435,11.1140724229184,20.5760020675341,41.8449510979737,7.08372321749482,409
2019,All tracts,384,373854,371.316712935055,136.686493603023,11.0730392078191,20.5607001663751,42.3135769578499,7.14805271440684,411
