group_var,is_corp_plaintiff,n_cases,mean_months,median_months,mean_ongoing_rent,mean_total_rent,mean_months_implied,mean_total_units_conglomerate_yr,pct_plaintiff_win,mean_award_ratio,is_forprofit_corp_plaintiff,is_pha_plaintiff,is_nonprofit_plaintiff,is_corp_owner,is_pha_owner,plaintiff_is_owner,high_filer_bldg,total_units_conglomerate_yr_net_parcel_bin
is_corp_plaintiff,FALSE,65392,3.0815105982061,2.16929280397023,762.836667788117,2196.54359814656,3.0815105982061,49.5569592748945,0.0577746513334965,,,,,,,,,
is_corp_plaintiff,TRUE,87341,2.49323967219173,2,802.204899875192,1820.54972097875,2.49323967219173,696.800130168359,0.0196585795903413,,,,,,,,,
is_forprofit_corp_plaintiff,,74486,2.97777817385939,2.1,729.924182128192,2061.6283817093,2.97777817385939,661.297028355182,0.0526407647074618,,FALSE,,,,,,,
is_forprofit_corp_plaintiff,,78247,2.52361626884996,2,838.110865720098,1905.28148695797,2.52361626884996,156.842688249268,0.0201157871867292,,TRUE,,,,,,,
is_pha_plaintiff,,146416,2.77348358002093,2,802.378035938701,2032.38831111357,2.77348358002093,97.3706165958636,0.0367719374931701,,,FALSE,,,,,,
is_pha_plaintiff,,6317,2.08735402793211,1.71559633027523,390.661869558337,802.729965173342,2.08735402793211,7384.27533460803,0.0175716321038468,,,TRUE,,,,,,
is_nonprofit_plaintiff,,149215,2.75041001234533,2,786.954530844778,1987.99340334414,2.75041001234533,417.382074080317,0.0365110746238649,,,,FALSE,,,,,
is_nonprofit_plaintiff,,3518,2.52011292060577,2.12097480063796,717.274934621945,1707.38387436043,2.52011292060577,145.505892497844,0.0133598635588403,,,,TRUE,,,,,
is_corp_owner,,80262,2.55643486593197,2,793.133387157056,1845.50776158079,2.55643486593197,732.867770551444,0.0211058782487354,,,,,TRUE,,,,
is_corp_owner,,65603,3.03647733760009,2.13333333333333,766.62652576862,2173.29457540052,3.03647733760009,16.983156258098,0.0560797524503453,,,,,FALSE,,,,
is_pha_owner,,147173,2.76191307626554,2,799.623723169338,2021.72143647278,2.76191307626554,61.0289725954171,0.036705102158684,,,,,,FALSE,,,
is_pha_owner,,5560,2.3002075671877,1.78304399985886,407.512829136693,917.662442446045,2.3002075671877,9239.73183453237,0.016726618705036,,,,,,TRUE,,,
plaintiff_is_owner,,128197,2.77798370795683,2,776.884077708553,1988.72811969077,2.77798370795683,475.494218200101,0.0391896846260053,,,,,,,FALSE,,
plaintiff_is_owner,,24536,2.57332123564746,2,829.580429980448,1943.92050008152,2.57332123564746,91.4713482230192,0.019196283012716,,,,,,,TRUE,,
high_filer_bldg,,64420,3.15504856726401,2.17668674698796,760.561965693889,2174.01214079482,3.15504856726401,784.963163613785,0.0493169823036324,,,,,,,,FALSE,
high_filer_bldg,,77072,2.450377199499,2,800.043605070595,1851.6917104785,2.450377199499,109.908059995848,0.0262611583973427,,,,,,,,TRUE,
total_units_conglomerate_yr_net_parcel_bin,,18139,2.40937521387994,2,702.227210430551,1540.14878273332,2.40937521387994,2972.75897237995,0.0154914824411489,,,,,,,,,large landlord
total_units_conglomerate_yr_net_parcel_bin,,15018,2.91255641208651,2.14492753623188,720.1052303902,1959.76656945,2.91255641208651,34.0699161006792,0.0230390198428552,,,,,,,,,medium landlord
total_units_conglomerate_yr_net_parcel_bin,,25527,3.03444800667793,2.11490842490842,736.426069260001,2085.91481999451,3.03444800667793,8.49794335409566,0.0428565832256043,,,,,,,,,small landlord
total_units_conglomerate_yr_net_parcel_bin,,82811,2.74420820633384,2,825.061804108143,2079.47273019286,2.74420820633384,52.9788313146804,0.0420354783784763,,,,,,,,,single-property
